CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Duration.pupa,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,Notes
061,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,13.96,6/10/2023,40.75,16,6/15/2023,14,198.5,yes,7/3/2023,109.06,18,,male,yes,,,
062,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,18.03,6/10/2023,39.94,21,6/15/2023,14,221.52,yes,6/26/2023,157.28,11,,male,yes,,,
063,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,15.97,6/10/2023,56.81,26,6/16/2023,15,196.81,yes,6/22/2023,120.95,6,,female,yes,,,
064,BC1,6/2/2023,Elysian,plant,26C,,,6/8/2023,10.59,6/10/2023,30.29,30,6/15/2023,13,191.29,yes,6/22/2023,104.86,7,,male,no,,,
065,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,20.12,6/10/2023,86.2,34,6/13/2023,10,163.39,yes,,,,,,,7/5/2023,,died as pupa
066,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.7,6/10/2023,43.87,16,6/14/2023,11,189.44,yes,7/3/2023,155.97,19,,male,yes,,,
067,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.57,6/10/2023,45.9,21,6/15/2023,12,210.85,yes,,,,,,,,,
068,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,11.95,6/10/2023,40.2,26,6/14/2023,11,196.62,yes,6/25/2023,103.77,11,,,yes,6/23/2023,,failed to eclose
069,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,17.93,6/10/2023,45.03,30,6/14/2023,11,201.2,yes,,,,,,,6/25/2023,,died trying to eclose
070,BC1,5/30/2023,Elysian,diet,26C,,,6/8/2023,14.23,6/11/2023,49.01,34,6/15/2023,16,202.19,yes,6/23/2023,95.88,8,,male,no,,,deformed wings
071,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,18.98,6/10/2023,54.61,16,6/15/2023,15,151.18,yes,7/3/2023,133.34,18,,female,no,,,problems eclosing
072,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,21.81,6/10/2023,53.58,21,6/15/2023,15,240.08,yes,6/25/2023,117.25,10,,male,yes,,,
073,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,10.77,6/10/2023,34.19,26,6/14/2023,14,,no,,,,,,,6/14/2023,154.52,INT
074,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,12.6,6/10/2023,42.74,30,6/14,14,152.97,yes,,,,,,,6/28/2023,,died as pupa
075,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,18.66,6/10/2023,65.07,34,6/14/2023,14,196.78,yes,6/22/2023,128.97,8,,male,yes,,,
076,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,15.17,6/10/2023,71.61,16,6/14/2023,14,232.77,yes,7/1/2023,182.24,17,,male,yes,,,
077,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,17.62,6/10/2023,64.58,21,6/14/2023,14,232.66,yes,6/25/2023,121.97,11,,male,yes,,,
078,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,21.3,,,26,,,,,,,,,,,6/10/2023,,
079,BC1,6/1/2023,Elysian,plate,26C,,,6/8/2023,9.2,6/11/2023,35.91,30,6/16/2023,15,196.51,yes,6/23/2023,98.02,7,,male,yes,,,From cell 7G on plate
080,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.54,6/10/2023,45.18,34,6/14/2023,11,166.94,yes,,,,,,,7/11/2023,,Found on plant as third- exclude? Died as pupa
081,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,19.97,6/10/2023,79.11,16,6/14/2023,11,223.62,yes,7/3/2023,136.71,19,,male,yes,,,Found on plant as third- exclude? 
082,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.58,6/10/2023,52.25,21,6/14/2023,11,,No,,,,,,,6/14/2023,154.5,Found on plant as third- exclude? 
083,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,25.12,6/10/2023,76.26,26,6/14/2023,11,156.46,Yes,6/21/2023,72.49,7,,male,yes,,,Found on plant as third- exclude? 
084,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,14.4,6/10/2023,64.83,30,6/14/2023,11,228.8,Yes,6/20/2023,118.25,6,,male,yes,,,Found on plant as third- exclude? 
085,BC1,6/2/2023,Elysian,diet,26C,,,6/9/2023,11.02,6/12/2023,50.45,34,6/16/2023,14,141.54,yes,,,,,,,6/24/2023,,Died trying to eclose
086,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,17.24,6/11/2023,37.1,16,6/15/2023,14,,no,,,,,,,6/15/2023,184.55,INT
087,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,18.31,6/11/2023,40.18,21,6/16/2023,15,212.58,yes,,,,,,,7/4/2023,,died as pupa
088,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,19.23,6/11/2023,40.38,26,6/16/2023,15,,no,,,,,,,6/17/23,199.3,INT
089,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,15.62,6/11/2023,37.81,30,6/16/2023,15,174.35,yes,6/22/2023,103.35,6,,Female,yes,,,
090,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,9.35,6/12/2023,53.52,34,6/16/2023,15,140.91,yes,6/24/2023,54.62,8,,male,yes,,,
091,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.19,6/11/2023,43.62,16,6/15/2023,12,218.76,yes,7/4,144.44,19,,female,yes,,,
092,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.35,6/12/2023,69.83,21,6/16/2023,13,,no,,,,,,,6/17/23,218.89,INT
093,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.66,6/11/2023,39.91,26,6/15/2023,12,225.93,yes,6/23/2023,87.91,8,,male,yes,,,
094,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,15.79,6/11/2023,38.53,30,6/16/2023,13,178.6,yes,,,,,,,6/25/2023,,died as pupa
095,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.55,6/12/2023,43.38,34,6/16/2023,13,177.78,yes,6/24/2023,127.98,8,,male,no,,,problems eclosing
096,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,23.17,6/11/2023,56.64,16,6/14/2023,11,179.49,Yes,7/1/2023,74.26,17,,female,yes,,,
097,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.22,6/11/2023,42.79,21,6/15/2023,12,176.09,yes,6/26/2023,94.3,11,,male,yes,,,
098,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,16.08,6/11/2023,47.51,26,6/15/2023,12,201.01,yes,6/22/2023,109.36,7,,male,yes,,,
099,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,9.87,6/12/2023,76.8,30,6/15/2023,12,201.47,yes,6/21/2023,104.52,6,,,yes,,,
100,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,27.75,6/11/2023,76.38,34,6/14/2023,11,196.57,Yes,,,,,,,6/25/2023,,died as pupa
101,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,28.37,6/11/2023,58.82,16,6/15/2023,12,216.53,yes,7/4/2023,96.23,19,,male,yes,,,
102,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.04,6/12/2023,38.96,21,6/17/23,14,164.92,yes,6/28/2023,125.55,11,,male,no,,,deformed wings
103,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,13.79,6/11/2023,38.34,26,6/16/2023,13,,No,,,,,,,6/17/23,200.99,INT
