CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Duration.pupa,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,Notes
001,007,5/18/2023,Perrywinkle,diet,26C,5/20/23,5/21/23,5/23/2023,17.79,5/25/2023,76.77,16,5/29/2023,11,166,Yes,6/13/2023,83.96,15,,Female,Yes,,,Became SIB 102
002,007,5/17/2023,Perrywinkle,diet,26C,5/21/23,5/23/23,5/25/2023,14.2,5/27/2023,38,21,6/1/2023,15,169.57,Yes,6/12/2023,89.3,11,,Female,Yes,,,Became SIB 101
003,007,5/15/2023,Perrywinkle,diet,26C,5/19/23,5/21/23,5/23/2023,16.58,5/27/2023,109,26,5/30/2023,15,175.63,Yes,,,,,,,6/7/2023,,died trying to eclose
004,Found,5/20/2023,Perrywinkle,diet,26C,5/23/2023,5/25/2023,5/27/2023,10,5/30/2023,43,30,6/3/2023,14,164.04,Yes,6/9/2023,78.67,6,,Female,Yes,,,Became SIB 100
005,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,22,5/29/2023,39.8,34,6/2/2023,15,,No,,,,,,,6/2/2023,149.28,INT
006,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,30,5/29/2023,50.23,16,6/2/2023,15,,No,,,,,,,6/2/2023,181.56,INT
007,007,5/18/2023,Perrywinkle,diet,26C,5/21,5/24,5/27/2023,19,5/31/2023,46,21,6/4/2023,17,166.83,Yes,6/15/2023,74.77,11,,Male,Yes,,,
008,Found,5/19/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,8.07,6/2/2023,32.7,26,6/10/2023,22,139.01,Yes,6/18/2023,143.29,8,,male,No,,,deformed wings
009,Found,5/19/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,20.5,5/31/2023,36,30,6/5/2023,17,,No,,,,,,,6/5/2023,153.23,INT
010,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,23.06,5/31/2023,41,34,6/4/2023,15,161.08,Yes,6/12/2023,71.48,8,,Male,No,,,deformed wings
011,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,16.59,5/31/2023,38,16,6/4/2023,15,190.96,Yes,6/23/2023,88.19,19,,male,yes,,,
012,Found,5/20/2023,Perrywinkle,diet,26C,5/23,5/25,5/29/2023,10.11,5/31/2023,,21,6/6/2023,17,202.36,Yes,6/15/2023,99.99,9,,Male,Yes,,,
013,016,5/21/2023,Perrywinkle,diet,26C,5/25,5/27,5/29/2023,9.35,6/2/2023,37.88,26,6/7/2023,17,144.23,Yes,6/15/2023,86.49,8,,Male,No,,,Deformed wings
014,Found,5/19/2023,Perrywinkle,diet,26C,5/27,5/29,5/31/2023,9.51,6/3/2023,51.67,30,6/7/2023,19,123.11,Yes,6/13/2023,55.63,6,,Female,Yes,,,Became SIB 103
015,018,5/23/2023,Perrywinkle,diet,26C,5/27,5/29,5/31/2023,9,6/4/2023,46.88,34,6/9/2023,17,153.61,Yes,6/16/2023,84.58,7,,Male,No,,,Deformed wings
