"CID","SIB","Mean.Temp","Temp.Var","UniID","Date.hatch","Surv.4th","Date.4th","Time.4th","Mass.4th","Surv.5th","Date.5th","Time.5th","Mass.5th","Surv.pupa","Date.pupa","Time.pupa","Mass.pupa","PupateOk","Surv.eclose","Date.eclose","Time.eclose","EcloseOk","Sex","Mass.adult","Date.dead","Time.death","Stage.final","Notes"
42,"15",34,5,"42.15.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
43,"15",34,5,"43.15.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
44,"15",34,5,"44.15.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
45,"12",34,5,"45.12.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
46,"12",34,5,"46.12.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
47,"24",34,5,"47.24.34.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
48,"24",34,5,"48.24.34.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/10",1,"1",""
49,"24",34,5,"49.24.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
50,"M1",34,5,"50.M1.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
51,"M1",34,5,"51.M1.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",1,"1",""
52,"15",34,5,"52.15.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
53,"15",34,5,"53.15.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
54,"3",34,5,"54.3.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
55,"8",34,5,"55.8.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
56,"8",34,5,"56.8.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
57,"8",34,5,"57.8.34.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
58,"3",26,5,"58.3.26.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
59,"15",30,5,"59.15.30.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
60,"3",30,5,"60.3.30.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
62,"8",30,5,"62.8.30.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",1,"1",""
63,"8",26,5,"63.8.26.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",3,"1",""
64,"8",30,5,"64.8.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",2,"1",""
65,"15",34,5,"65.15.34.5","5/10","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/12",2,"1",""
66,"8",34,5,"66.8.34.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",2,"1",""
67,"8",34,5,"67.8.34.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/11",2,"1",""
68,"3",21,5,"68.3.21.5","5/12","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/13",1,"1",""
