CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,DaysPtoE,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP
095,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.55,6/12/2023,43.38,34,6/16/2023,13,177.78,Yes,6/24/2023,127.98,8,,male,No,,,13
096,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,23.17,6/11/2023,56.64,16,6/14/2023,11,179.49,Yes,7/1/2023,74.26,17,,female,Yes,,,11
097,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.22,6/11/2023,42.79,21,6/15/2023,12,176.09,Yes,6/26/2023,94.3,11,,male,Yes,,,12
098,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,16.08,6/11/2023,47.51,26,6/15/2023,12,201.01,Yes,6/22/2023,109.36,7,,male,Yes,,,12
099,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,9.87,6/12/2023,76.8,30,6/15/2023,12,201.47,Yes,6/21/2023,104.52,6,,,Yes,,,12
100,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,27.75,6/11/2023,76.38,34,6/14/2023,11,196.57,Yes,,,,,,,6/25/2023,,11
101,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,28.37,6/11/2023,58.82,16,6/15/2023,12,216.53,Yes,7/4/2023,96.23,19,,male,Yes,,,12
102,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.04,6/12/2023,38.96,21,6/17/23,14,164.92,Yes,6/28/2023,125.55,11,,male,No,,,14
103,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,13.79,6/11/2023,38.34,26,6/16/2023,13,,No,,,,,,,6/17/23,200.99,13
104,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,19.02,6/11/2023,45.48,30,6/15/2023,12,174.33,Yes,,,,,,,6/22/2023,,12
105,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.42,6/12/2023,74.89,34,6/16/2023,13,223.81,Yes,,,,,,,6/28/2023,,13
106,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.65,6/12/2023,77.05,16,6/15/2023,12,202.22,Yes,07/02/2023,89.63,17,,male,Yes,,,12
107,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,15.45,6/11/2023,40.12,21,6/15/2023,12,234.96,Yes,6/25/2023,154.35,10,,male,Yes,,,12
108,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.09,6/12/2023,93.17,26,6/15/2023,12,202.56,Yes,,,,,,,6/22/2023,,12
109,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.54,6/12/2023,47,30,6/16/2023,13,172.78,Yes,6/22/2023,89.41,6,,male,Yes,,,13
110,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,26.82,6/11/2023,74.44,34,6/14/2023,11,208.43,Yes,,,,,,,6/25/2023,,11
111,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.04,6/12/2023,50.87,16,6/16/2023,13,191.82,Yes,,,,,,,6/28/2023,,13
112,BC1,5/31/2023,Elysian,plant,26C,,,6/9/2023,9.29,6/12/2023,47.14,21,6/16/2023,16,,No,,,,,,,6/17/23,182.79,16
113,BC1,6/2/2023,Elysian,plant,26C,,,6/9/2023,9.33,6/12/2023,59.2,26,6/15/2023,13,161.37,Yes,6/22/2023,94.05,7,,female,Yes,,,13
114,BC1,5/31/2023,Elysian,diet,26C,,,6/9/2023,14.19,6/12/2023,62.06,30,6/16/2023,16,,No,,,,,,,6/17/23,229.69,16
115,BC1,5/30/2023,Elysian,diet,26C,,,6/9/2023,11.47,6/12/2023,51.52,34,6/16/2023,17,199.16,Yes,6/24/2023,101.15,8,,male,No,,,17
116,BC1,5/27/2023,Elysian,diet,26C,,,6/9/2023,13.6,6/12/2023,87.6,16,6/15/2023,19,215.22,Yes,7/3/2023,151.76,18,,male,Yes,,,19
117,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,9.05,6/12/2023,56.89,21,6/16/2023,13,192.18,Yes,6/27/2023,98.45,11,,female,Yes,,,13
118,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.81,6/12/2023,74.13,26,6/16/2023,13,,No,,,,,,,6/17/23,236.94,13
119,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.89,6/12/2023,52.09,30,6/16/2023,13,212.6,Yes,,,,,,,6/25/2023,,13
120,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.06,6/12/2023,56.59,34,6/16/2023,13,201.16,Yes,6/24/2023,101.32,8,,male,No,,,13
123,BC1,6/1/2023,Elysian,plate,26C,,,6/9/2023,21.42,6/11/2023,41.43,26,6/16/2023,15,191.1,Yes,6/24/2023,96.46,8,,male,No,,,15
124,BC1,6/5/2023,Elysian,plant,26+/5,,,6/9/2023,11.16,6/12/2023,50.91,30,6/16/2023,11,185.22,Yes,6/22/2023,96.16,6,,female,No,,,11
125,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,25.67,6/12/2023,49.05,34,6/16/2023,12,,No,,,,,,,6/17/23,201.96,12
126,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,20.93,6/12/2023,,16,6/16/2023,12,,No,,,,,,,6/17/23,214.58,12
127,BC1,6/2/2023,Elysian,plant,26C,,,6/10/2023,12.59,6/13/2023,51.27,21,6/17/23,15,152.43,Yes,,,,,,,6/27/2023,,15
128,BC1,5/30/2023,Elysian,plant,26C,,,6/10/2023,16.44,6/13/2023,71.67,26,6/17/23,18,,No,,,,,,,6/17/2023,176.47,18
129,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,19.3,6/13/2023,111.55,30,6/16/2023,12,196.66,Yes,6/22/2023,118.46,6,,female,No,,,12
130,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,11.58,6/13/2023,42.62,34,6/18/23,14,195.92,Yes,6/26/2023,127.51,8,,female,No,,,14
131,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,12.66,6/13/2023,64.5,16,6/17/23,13,201.54,Yes,7/6/2023,89.55,19,,male,Yes,,,13
133,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,12.3,6/13/2023,74.56,26,6/16/2023,12,179.82,Yes,6/23/2023,80.63,7,,,Yes,,,12
134,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.53,6/14/2023,85.96,30,6/19/2023,15,,No,,,,,,,6/19/2023,175.41,15
135,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,15.11,6/12/2023,44.63,34,6/16/2023,15,199.14,Yes,6/24/2023,115.26,8,,male,No,,,15
136,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,18.35,6/13/2023,79.83,16,6/17/23,16,197.78,Yes,7/5/2023,114.58,18,,male,No,,,16
137,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,18.14,6/12/2023,47.12,21,6/16/2023,15,202.93,Yes,6/27/2023,101.54,11,,male,Yes,,,15
138,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,8.53,6/13/2023,44.07,26,6/18/23,17,192.89,Yes,6/26/2023,90.51,8,,female,Yes,,,17
139,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,24.14,6/12/2023,57.66,30,6/16/2023,12,187.32,Yes,6/23/2023,95.57,7,,male,Yes,,,12
140,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,16.16,6/12/2023,40.19,34,6/17/23,13,202.75,Yes,6/25/2023,102.74,8,,female,No,,,13
141,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.45,6/13/2023,93.55,16,6/17/23,13,201.99,Yes,7/5/2023,110.64,18,,female,No,,,13
142,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,24.87,6/12/2023,71.44,21,6/16/2023,12,207.18,Yes,6/25/2023,118.22,9,,male,Yes,,,12
143,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,11.26,6/13/2023,48.24,26,6/17/23,13,195.48,Yes,6/24/2023,114.34,7,,male,No,,,13
144,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.64,6/13/2023,97.01,30,6/17/23,13,200.05,Yes,6/26/2023,173.19,9,,unkNown,No,,,13
145,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,14.31,6/13/2023,75.1,34,6/17/23,13,194.4,Yes,6/25/2023,85.48,8,,male,No,,,13
146,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,10.27,6/13/2023,37.15,16,6/18/23,13,185.56,Yes,7/5/2023,126.77,17,,female,Yes,,,13
147,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,6.01,6/14/2023,20.42,21,6/21/2023,16,173.05,Yes,7/2/23,82.04,11,,male,Yes,,,16
148,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,10.43,6/14/2023,72.83,26,6/18/23,13,220.5,Yes,6/26/2023,116.06,8,,female,No,,,13
149,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,11.72,6/13/2023,27.84,30,6/18/23,13,158.51,Yes,6/24/2023,88.68,6,,female,Yes,,,13
150,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,18.63,6/12/2023,41.5,34,6/16/2023,11,185.49,Yes,6/24/2023,106.42,8,,female,No,,,11
151,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.64,6/13/2023,42.86,16,6/18/23,14,165.19,Yes,,,,,,,7/6/2023,,14
152,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.52,6/14/2023,82.89,21,6/19/2023,15,,No,,,,,,,6/19/2023,165.82,15
153,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.23,6/13/2023,43.77,26,6/19/2023,15,,No,,,,,,,6/19/2023,216.44,15
154,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.67,6/13/2023,39.68,30,6/18/23,14,,No,,,,,,,6/18/2023,189.66,14
155,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,11.29,6/14/2023,80.4,34,6/18/23,14,,Yes,,,,,,,6/20/2023,,14
156,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.86,6/14/2023,82.36,16,6/18/23,14,180.65,Yes,7/7/2023,75.89,19,,male,Yes,,,14
