CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
034,Perrywinkle,leaf,21,6/21/2023,6/29/2023,,7/3/2023,12,9.93,,7/14/2023,23,32.21,,7/25/2023,34,150.62,Y,,8/6/2023,46,64.68,male,Y,,,
035,Perrywinkle,leaf,21,6/21/2023,6/29/2023,,7/2/23,11,11.02,,7/9/2023,18,78.12,,7/16/2023,25,238.74,Y,,7/26/2023,35,154.54,male,Y,,,
036,Perrywinkle,leaf,21,6/21/2023,6/29/2023,,7/1/2023,10,10.71,,7/6/2023,15,61.06,,7/13/2023,22,209.77,Y,,7/24/2023,33,98.25,female,Y,,,
037,Perrywinkle,leaf,16,6/20/2023,6/30/2023,,7/5/2023,15,14.65,,7/13/2023,23,39.19,,7/27/2023,37,209.93,N,,,,,,,7/27/2023,37,INT
038,Perrywinkle,leaf,16,6/20/2023,6/30/2023,,7/6/2023,16,12.01,,7/14/2023,24,49.68,,7/25/2023,35,187.97,Y,,,,,,,8/3/2023,44,died as pupa
039,Perrywinkle,leaf,16,6/20/2023,6/30/2023,,7/5/2023,15,8.34,,7/14/2023,24,46.05,,7/25/2023,35,205.06,N,,,,,,,7/25/2023,35,INT
040,Perrywinkle,leaf,16,6/20/2023,6/30/2023,,7/7/2023,17,11.13,,7/15/2023,25,56.77,,7/27/2023,37,220.13,Y,,,,,,,8/7/2023,48,died as pupa
041,Perrywinkle,leaf,16,6/20/2023,6/30/2023,,7/6/2023,16,7.78,,7/16/2023,26,37.25,,7/31/2023,41,151.69,N,,,,,,,7/31/2023,41,INT
042,Perrywinkle,plate,21,6/21/2023,6/30/2023,,7/3/2023,12,14.89,,7/8/2023,17,41.96,,7/15/2023,24,165.02,Y,,7/26/2023,35,144.12,female,Y,,,
043,Perrywinkle,plate,21,6/21/2023,6/30/2023,,7/4/2023,13,12.12,,7/9/2023,18,56.49,,7/20/2023,29,203.68,N,,,,,,,7/20/2023,29,INT
044,Perrywinkle,plate,21,6/21/2023,6/30/2023,,7/6/2023,15,14.27,,7/12/2023,21,45.22,,7/20/2023,29,172.89,Y,,7/31/2023,40,82.21,male,Y,,,
045,Perrywinkle,plate,21,6/21/2023,6/30/2023,,7/4/2023,13,11.18,,7/9/2023,18,54.62,,7/16/2023,25,276.22,N,,,,,,,7/16/2023,25,INT
046,Colony,leaf,34,6/26/2023,7/1/2023,,7/4/2023,8,123.05,,7/7/2023,11,39.29,,7/11/2023,15,124.03,Y,,,,,,,7/19/2023,23,died as pupa
047,Colony,leaf,34,6/26/2023,7/1/2023,,7/6/2023,10,8.22,,,,,,,,,,,,,,,,7/8/2023,12,
048,Colony,leaf,34,6/26/2023,7/1/2023,,,,,,,,,,,,,,,,,,,,7/15/2023,19,
049,Colony,leaf,34,6/27/2023,7/1/2023,,7/3/2023,6,8.12,,7/7/2023,10,31.68,,7/14/2023,17,93.69,Y,,,,,,,8/5/2023,39,died as pupa
050,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/6/2023,16,12.22,,7/13/2023,23,50.92,,7/27/2023,37,228.17,N,,,,,,,7/27/2023,37,INT
051,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/10/2023,20,6.06,,7/19/2023,29,42.45,,7/31/2023,41,161.78,N,,,,,,,7/31/2023,41,INT
052,Perrywinkle,leaf,16,6/21/2023,7/2/2023,,7/7/2023,16,6.16,,7/15/2023,24,40.07,,7/26/2023,35,219.12,N,,,,,,,7/26/2023,35,INT
053,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/5/2023,15,10.28,,7/12/2023,22,41.43,,7/22/2023,32,165.79,Y,,,,,,,8/12/2023,53,died as pupa
054,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/9/2023,19,9.4,,7/20/2023,30,30.12,,8/3/2023,44,139.73,Y,,8/23/2023,64,70.12,Female,Y,,,
055,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/8/2023,18,10.57,,7/15/2023,25,41.37,,7/25/2023,35,207.85,N,,,,,,,7/25/2023,35,INT
056,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/6/2023,16,11.39,,7/14/2023,24,34.45,,7/26/2023,36,184.26,N,,,,,,,7/26/2023,36,INT
057,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/7/2023,17,8.63,,7/15/2023,25,39.84,,7/29/2023,39,219.03,N,,,,,,,7/29/2023,39,INT
058,Perrywinkle,leaf,16,6/21/2023,7/2/2023,,7/7/2023,16,9.14,,7/15/2023,24,49.71,,7/27/2023,36,266.16,Y,,8/14/2023,54,207.33,male,Y,,,
059,Perrywinkle,leaf,16,6/21/2023,7/2/2023,,7/9/2023,18,13.95,,7/17/2023,26,41.79,,8/6/2023,46,167.41,Y,,8/23/2023,63,78.2,male,Y,,,
060,Perrywinkle,leaf,16,6/24/2023,7/2/2023,,7/6/2023,12,9.74,,7/13/2023,19,51.18,,7/24/2023,30,165.54,N,,,,,,,7/24/2023,30,INT
061,Perrywinkle,leaf,16,6/24/2023,7/2/2023,,7/6/2023,12,9.36,,7/14/2023,20,58.03,,7/24/2023,30,233.58,N,,,,,,,7/24/2023,30,INT
062,Perrywinkle,leaf,16,6/24/2023,7/2/2023,,7/7/2023,13,6.89,,7/16/2023,22,36.48,,8/1/2023,38,137.55,N,,,,,,,8/1/2023,38,INT
063,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/8/2023,18,9.83,,7/15/2023,25,33.66,,7/26/2023,36,,Y,,8/11/2023,52,72.45,female,Y,,,
064,Perrywinkle,leaf,16,6/20/2023,7/2/2023,,7/7/2023,17,11.67,,7/15/2023,25,39.41,,7/27/2023,37,202.75,N,,,,,,,7/27/2023,37,INT
065,Colony,leaf,34,6/26/2023,7/2/2023,,7/5/2023,9,13.03,,7/8/2023,12,40.36,,7/14/2023,18,142.08,N,,,,,,,7/15/2023,19,INT
066,Colony,leaf,34,6/27/2023,7/2/2023,,7/6/2023,9,26.88,,7/8/2023,11,52.05,,7/13/2023,16,166.08,N,,,,,,,7/13/2023,16,INT
067,Colony,leaf,34,6/27/2023,7/2/2023,,7/4/2023,7,10.57,,7/8/2023,11,88.45,,7/11/2023,14,128.03,Y,,,,,,,7/19/2023,22,died as pupa
068,Perrywinkle,leaf,34,6/28/2023,7/2/2023,,7/6/2023,8,17.14,,7/9/2023,11,47.85,,7/14/2023,16,95.51,Y,,7/22/2023,24,,,N,,,died trying to eclose
069,Colony,leaf,34,6/29/2023,7/2/2023,,7/5/2023,6,10.67,,,,,,,,,,,,,,,,7/16/2023,17,
070,Colony,leaf,34,6/29/2023,7/2/2023,,7/4/2023,5,8.5,,7/9/2023,10,51.28,,7/14/2023,15,100.22,N,,,,,,,7/15/2023,16,INT
071,Colony,leaf,34,6/29/2023,7/2/2023,,7/4/2023,5,11.93,,7/6/2023,7,36.26,,7/11/2023,12,114.02,Y,,7/19/2023,20,80.92,male,N,,,deformed wings
072,Perrywinkle,leaf,21,6/27/2023,7/2/2023,,,,,,,,,,,,,,,,,,,,7/4/2023,7,
073,Perrywinkle,leaf,21,6/27/2023,7/2/2023,,7/8/2023,11,8.24,,7/14/2023,17,29.99,,7/25/2023,28,84.35,N,,,,,,,7/25/2023,28,INT
