"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"3561","16","Yes","163.99","No",NA,NA,"","","CA","CA","Larval"
"3581","16","Yes","188.38","Yes","18","100.58","female","Yes","CA","CA","Larval"
"3611","21","Yes","183","Yes","9","82.03","female","Yes","CA","CA","Larval"
"3621","21","Yes","152.02","Yes","10","91.18","female","Yes","CA","CA","Larval"
"3631","21","Yes","224.91","Yes","10","158.71","male","Yes","CA","CA","Larval"
"3641","21","Yes","156.61","Yes","11","100.34","male","No","CA","CA","Larval"
"3651","21","Yes","223.86","Yes","10","111.15","male","Yes","CA","CA","Larval"
"3671","16","Yes","191.13","No",NA,NA,"","","CA","CA","Larval"
"3681","21","Yes","211.17","Yes","12","130.81","female","Yes","CA","CA","Larval"
"3711","16","Yes","209.31","Yes","18","137.23","male","Yes","CA","CA","Larval"
"3751","16","Yes","184.28","No",NA,NA,"","","CA","CA","Larval"
"3761","16","Yes","98.21","No",NA,NA,"","","CA","CA","Larval"
"3801","16","Yes","139.8","No",NA,NA,"","","CA","CA","Larval"
"3821","16","Yes","209.65","No",NA,NA,"","","CA","CA","Larval"
"3841","16","Yes","218.47","Yes","20","170.1","male","No","CA","CA","Larval"
"3851","16","Yes","197.97","Yes","17","129.93","female","Yes","CA","CA","Larval"
"3861","16","Yes","180.91","Yes","17","93.56","male","Yes","CA","CA","Larval"
"3881","16","Yes","212.94","Yes","29","172.02","male","No","CA","CA","Larval"
"3102","26","Yes","171.69","Yes","8","64.96","M","Yes","WA1","WA","Larval"
"4101","30","Yes","173.79","Yes","7","85.72","F","Yes","WA1","WA","Larval"
"812","26","Yes","152.66","Yes","7","68.06","F","Yes","WA1","WA","Larval"
"1312","26","Yes","135.52","Yes","8","55.84","F","Yes","WA1","WA","Larval"
"1412","30","Yes","164.15","Yes","7","83.81","M","Yes","WA1","WA","Larval"
"1612","16","Yes",NA,"No",NA,NA,"","","WA1","WA","Larval"
"1812","26","Yes","191.73","Yes","7","90.17","M","Yes","WA1","WA","Larval"
"1912","30","Yes","140.92","Yes","8","42.29","M","No","WA1","WA","Larval"
"2812","26","Yes","162.3","Yes","8","56.42","M","Yes","WA1","WA","Larval"
"2912","30","Yes","155.12","Yes","5","66.96","F","Yes","WA1","WA","Larval"
"3312","26","Yes","166.93","Yes","8","65.4","F","Yes","WA1","WA","Larval"
"3612","16","Yes","183.8","No",NA,NA,"","","WA1","WA","Larval"
"3812","26","Yes","187.25","Yes","12","57.36","M","No","WA1","WA","Larval"
"4211","21","Yes","165.4","Yes","10","118.01","F","Yes","WA1","WA","Larval"
"4411","30","Yes","185.6","No",NA,NA,"","","WA1","WA","Larval"
"4711","21","Yes","158.14","Yes","11","53.36","M","Yes","WA1","WA","Larval"
"4911","30","Yes","162.13","Yes","7","73.66","F","No","WA1","WA","Larval"
"5011","34","Yes","121.81","Yes","9","31.16","M","No","WA1","WA","Larval"
"5310","26","Yes","168.92","Yes","7","104.55","M","","WA1","WA","Larval"
"542","30","Yes","186.81","Yes","7","78.59","M","","WA1","WA","Larval"
"552","34","Yes","115.8","Yes","8","25.09","","No","WA1","WA","Larval"
"642","30","Yes","149.22","Yes","7","69.65","M","Yes","WA1","WA","Larval"
"672","21","Yes","177.33","Yes","9","73.43","M","Yes","WA1","WA","Larval"
"682","26","Yes","184.97","Yes","7",NA,"M","Yes","WA1","WA","Larval"
"732","26","Yes","131.64","Yes","10","41.77","F","No","WA1","WA","Larval"
"742","30","Yes","167.22","Yes","6","84.87","M","Yes","WA1","WA","Larval"
"772","21","Yes","187.33","Yes","10","107.75","M","Yes","WA1","WA","Larval"
"792","30","Yes","192.85","Yes","6","110.64","F","Yes","WA1","WA","Larval"
"802","34","Yes","122.12","Yes","8","48.3","M","Yes","WA1","WA","Larval"
"822","21","Yes","121.3","No",NA,NA,"","","WA1","WA","Larval"
"832","26","Yes","167.98","Yes","7","73.19","M","Yes","WA1","WA","Larval"
"842","30","Yes","113.04","Yes","7","39.68","M","No","WA1","WA","Larval"
"882","26","Yes","161.66","Yes","7","76.97","F","Yes","WA1","WA","Larval"
"902","34","Yes","116.97","Yes","8","133.07","F","No","WA1","WA","Larval"
"922","26","Yes","181.45","No",NA,NA,"","","WA1","WA","Larval"
"942","30","Yes","187.76","Yes","8","78.74","F","Yes","WA1","WA","Larval"
"982","26","Yes","180.53","Yes","7","72.88","F","Yes","WA1","WA","Larval"
"992","30","Yes","174.22","Yes","6","85.18","F","Yes","WA1","WA","Larval"
"1013","16","Yes","208.6","No",NA,NA,"","","WA1","WA","Larval"
"1022","21","Yes","197.13","Yes","9","83.39","M","Yes","WA1","WA","Larval"
"1032","26","Yes","163.09","Yes","11","57.1","F","No","WA1","WA","Larval"
"1082","26","Yes","181.51","Yes","8","64.16","M","Yes","WA1","WA","Larval"
"1113","16","Yes","151.18","No",NA,NA,"","","WA2","WA","Larval"
"1122","21","Yes","160.11","Yes","9","71.3","F","Yes","WA2","WA","Larval"
"1132","26","Yes","178.26","Yes","7","80.66","M","Yes","WA2","WA","Larval"
"1142","30","Yes","118.37","Yes","7","57.54","M","Yes","WA2","WA","Larval"
"1152","34","Yes","121.77","No",NA,NA,"","","WA2","WA","Larval"
"1162","16","Yes","200.46","No",NA,NA,"","","WA2","WA","Larval"
"1172","21","Yes","211.7","Yes","9","105.38","M","Yes","WA2","WA","Larval"
"1192","30","Yes","160.17","Yes","6","80.77","F","Yes","WA2","WA","Larval"
"1202","34","Yes","126.16","Yes","8","79.41","M","No","WA2","WA","Larval"
"1213","16","Yes","187.19","Yes","17","72.38","M","Yes","WA2","WA","Larval"
"1222","21","Yes","168.31","Yes","9","280.03","F","No","WA2","WA","Larval"
"1232","26","Yes","205.59","Yes","6","100.32","M","Yes","WA2","WA","Larval"
"1242","30","Yes","140.41","Yes","5","67.87","F","Yes","WA2","WA","Larval"
"1262","16","Yes","186.12","No",NA,NA,"","","WA2","WA","Larval"
"1313","16","Yes","140.09","Yes","28",NA,"M","Yes","WA2","WA","Larval"
"1342","30","Yes","175.05","Yes","5","100.99","F","Yes","WA2","WA","Larval"
"1352","34","Yes","137.06","Yes","8","73.79","M","No","WA2","WA","Larval"
"1372","21","Yes","224.74","Yes","10","148.33","M","Yes","WA2","WA","Larval"
"1392","30","Yes","157.36","Yes","7","79.29","F","Yes","WA2","WA","Larval"
"1413","16","Yes","138.07","No",NA,NA,"","","WA2","WA","Larval"
"1422","21","Yes","184.88","Yes","10","95.55","M","Yes","WA2","WA","Larval"
"1432","26","Yes","179.33","Yes","6","100.31","M","Yes","WA2","WA","Larval"
"1462","16","Yes","192.35","No",NA,NA,"","","WA2","WA","Larval"
"1472","21","Yes","198","Yes","11","69.07","M","Yes","WA2","WA","Larval"
"1492","30","Yes","166.47","Yes","7","79.66","M","Yes","WA2","WA","Larval"
"1502","34","Yes","132.28","No",NA,NA,"","","WA2","WA","Larval"
"1513","16","Yes","151.14","No",NA,NA,"","","WA2","WA","Larval"
"1522","21","Yes","184.29","Yes","10","100.37","M","Yes","WA2","WA","Larval"
"1532","26","Yes","179.62","Yes","6","98.83","F","Yes","WA2","WA","Larval"
"1542","30","Yes","149.14","Yes","6","80.97","F","Yes","WA2","WA","Larval"
"1552","34","Yes","139.27","No",NA,NA,"","","WA2","WA","Larval"
"1562","16","Yes","175.91","No",NA,NA,"","","WA2","WA","Larval"
"1582","26","Yes","135.29","Yes","6","65.84","F","Yes","WA2","WA","Larval"
"1592","30","Yes","142.36","Yes","6","69.61","F","Yes","WA2","WA","Larval"
"1602","34","Yes","136.56","Yes","8","116.14","F","No","WA2","WA","Larval"
"1613","16","Yes","188.31","Yes","17","69.36","M","Yes","WA2","WA","Larval"
"1622","21","Yes","192.12","Yes","12","246.92","","No","WA2","WA","Larval"
"1632","26","Yes","184.93","Yes","7","100.79","F","Yes","WA2","WA","Larval"
"1642","30","Yes","148.71","Yes","5","75.07","F","Yes","WA2","WA","Larval"
"1692","30","Yes","136.36","Yes","7","66.4","F","Yes","WA2","WA","Larval"
"1713","16","Yes","183.61","No",NA,NA,"","","WA2","WA","Larval"
"1722","21","Yes","168.6","Yes","10","90.6","M","Yes","WA2","WA","Larval"
"1732","26","Yes","85.5","No",NA,NA,"","","WA2","WA","Larval"
"1752","34","Yes","139.91","Yes","8","95.73","M","No","WA2","WA","Larval"
"1762","16","Yes","212.26","Yes","17","82.16","M","Yes","WA2","WA","Larval"
"1772","21","Yes","203.49","Yes","10","104.06","M","Yes","WA2","WA","Larval"
"1782","26","Yes","181.89","Yes","6","91.16","M","Yes","WA2","WA","Larval"
"1792","30","Yes","176.29","Yes","7","86.56","F","Yes","WA2","WA","Larval"
"1802","34","Yes","167.06","No",NA,NA,"","","WA2","WA","Larval"
"1822","21","Yes","178.92","Yes","10","116.45","M","Yes","WA2","WA","Larval"
"1842","30","Yes","134.43","Yes","5","60.04","M","Yes","WA2","WA","Larval"
"1852","34","Yes","139.28","No",NA,NA,"","","WA2","WA","Larval"
"1862","16","Yes","195.23","No",NA,NA,"","","WA2","WA","Larval"
"1882","26","Yes","110.97","Yes","6","69.54","M","Yes","WA2","WA","Larval"
"1892","30","Yes","170.44","Yes","6","86.29","F","Yes","WA2","WA","Larval"
"1913","16","Yes","166.65","No",NA,NA,"","","WA2","WA","Larval"
"1922","21","Yes","148.2","No",NA,NA,"","","WA2","WA","Larval"
"1942","30","Yes","104.69","Yes","7","42.02","M","Yes","WA2","WA","Larval"
"1972","21","Yes","153.97","No",NA,NA,"","","WA2","WA","Larval"
"1982","26","Yes","147.53","Yes","5","74.66","F","Yes","WA2","WA","Larval"
"2002","34","Yes","133.83","Yes","9","61.37","M","Yes","WA2","WA","Larval"
"2092","30","Yes","149.35","Yes","7","86.44","M","Yes","WA2","WA","Larval"
"2113","16","Yes","194.76","No",NA,NA,"","","WA2","WA","Larval"
"2122","21","Yes","149.09","No",NA,NA,"","","WA2","WA","Larval"
"2142","30","Yes","145.36","Yes","6","86.22","F","No","WA2","WA","Larval"
"2182","26","Yes","140.12","Yes","5","77.07","F","Yes","WA2","WA","Larval"
"2192","30","Yes","144.04","Yes","7","49.71","M","No","WA2","WA","Larval"
"2213","16","Yes","176.32","No",NA,NA,"","","WA2","WA","Larval"
"2222","21","Yes","156.04","Yes","13","109.12","M","Yes","WA2","WA","Larval"
"2232","26","Yes","157.59","Yes","6","82.42","F","Yes","WA2","WA","Larval"
"2262","16","Yes","156.69","No",NA,NA,"","","WA2","WA","Larval"
"2272","21","Yes","195.13","Yes","10","84.76","M","Yes","WA2","WA","Larval"
"2282","26","Yes","129.21","Yes","7","58.93","F","Yes","WA2","WA","Larval"
"2292","30","Yes","147.42","Yes","5","71.32","F","Yes","WA2","WA","Larval"
"2322","21","Yes",NA,"Yes","12","177.49","","No","WA2","WA","Larval"
"2342","30","Yes","160.84","Yes","6","99.61","F","Yes","WA2","WA","Larval"
"2352","34","Yes","145.16","No",NA,NA,"","","WA2","WA","Larval"
"2362","16","Yes","204.9","No",NA,NA,"","","WA2","WA","Larval"
"2422","21","Yes","170.91","No",NA,NA,"","","WA2","WA","Larval"
"2432","26","Yes","132.08","Yes","5","68.05","M","Yes","WA2","WA","Larval"
"2452","34","Yes","102.98","No",NA,NA,"","","WA2","WA","Larval"
"2482","26","Yes","125.31","Yes","6","60.79","F","Yes","WA2","WA","Larval"
"2502","26","Yes","160.55","Yes","5","75.15","F","Yes","WA2","WA","Larval"
