"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"187","26","Yes","186.5","Yes","7","123.3","M","Yes","NC1","NC","Larval"
"188","26","Yes","260.6","Yes","10","160.5","M","No","NC1","NC","Larval"
"189","26","Yes","264.9","Yes","7","147","F","Yes","NC1","NC","Larval"
"190","26","Yes","185.3","Yes","7","106.9","F","Yes","NC1","NC","Larval"
"191","30","Yes","218.6","Yes","7","176.2","F","No","NC1","NC","Larval"
"192","30","Yes","195.2","Yes","6","92.1","M","Yes","NC1","NC","Larval"
"193","30","Yes","182.5","Yes","13","57.1","M","No","NC1","NC","Larval"
"194","26","Yes","97.1","Yes","7","59.8","M","Yes","NC1","NC","Larval"
"195","26","Yes","195","Yes","7","101.4","M","No","NC1","NC","Larval"
"196","30","Yes","227.9","Yes","12","64.6","F","No","NC1","NC","Larval"
"197","30","Yes","179.6","Yes","12","32.5","","No","NC1","NC","Larval"
"198","30","Yes","160.9","Yes","7","81","F","Yes","NC1","NC","Larval"
"199","26","Yes","213.8","Yes","7","106.4","M","No","NC1","NC","Larval"
"200","26","Yes","198.5","Yes","7","112.5","F","No","NC1","NC","Larval"
"380","30","Yes","184.1","Yes","7","85.7","F","Yes","NC1","NC","Larval"
"381","30","Yes","203.6","Yes","7","90.4","F","Yes","NC1","NC","Larval"
"382","30","Yes","168.6","Yes","6","79.2","M","Yes","NC1","NC","Larval"
"384","21","Yes","173.72","Yes","13",NA,"","No","NC2","NC","Larval"
"386","21","Yes","236.28","Yes","11","125.13","male","Yes","NC2","NC","Larval"
"388","21","Yes","212.78","No",NA,NA,"","","NC2","NC","Larval"
"396","21","Yes","190.4","No",NA,NA,"","","NC2","NC","Larval"
"401","21","Yes","109.36","No",NA,NA,"","","NC2","NC","Larval"
"403","21","Yes","233.92","Yes","12","214.13","female","Yes","NC2","NC","Larval"
"404","21","Yes","152.24","Yes","11","68.46","male","Yes","NC2","NC","Larval"
"405","21","Yes","206.1","Yes","10","134.88","female","No","NC2","NC","Larval"
"406","16","Yes","226.19","Yes","16","129.09","male","No","NC2","NC","Larval"
"409","16","Yes","156.6","Yes","17","81.27","male","Yes","NC2","NC","Larval"
"412","21","Yes","201.87","Yes","10","126.03","male","Yes","NC2","NC","Larval"
"413","21","Yes","244.52","Yes","10","186.06","male","Yes","NC2","NC","Larval"
"415","21","Yes","205.99","Yes","10","90.83","female","Yes","NC2","NC","Larval"
"416","21","Yes","150.62","Yes","12","64.68","male","Yes","NC2","NC","Larval"
"417","21","Yes","238.74","Yes","10","154.54","male","Yes","NC2","NC","Larval"
"418","21","Yes","209.77","Yes","11","98.25","female","Yes","NC2","NC","Larval"
"420","16","Yes","187.97","No",NA,NA,"","","NC2","NC","Larval"
"422","16","Yes","220.13","No",NA,NA,"","","NC2","NC","Larval"
"424","21","Yes","165.02","Yes","11","144.12","female","Yes","NC2","NC","Larval"
"426","21","Yes","172.89","Yes","11","82.21","male","Yes","NC2","NC","Larval"
"428","34","Yes","124.03","No",NA,NA,"","","NC2","NC","Larval"
"431","34","Yes","93.69","No",NA,NA,"","","NC2","NC","Larval"
"435","16","Yes","165.79","No",NA,NA,"","","NC2","NC","Larval"
"436","16","Yes","139.73","Yes","20","70.12","Female","Yes","NC2","NC","Larval"
"440","16","Yes","266.16","Yes","18","207.33","male","Yes","NC2","NC","Larval"
"441","16","Yes","167.41","Yes","17","78.2","male","Yes","NC2","NC","Larval"
"445","16","Yes",NA,"Yes","16","72.45","female","Yes","NC2","NC","Larval"
"449","34","Yes","128.03","No",NA,NA,"","","NC2","NC","Larval"
"450","34","Yes","95.51","Yes","8",NA,"","No","NC2","NC","Larval"
"453","34","Yes","114.02","Yes","8","80.92","male","No","NC2","NC","Larval"
"456","16","Yes","185.83","No",NA,NA,"","","NC2","NC","Larval"
"462","16","Yes","213.11","Yes","17","85.11","male","Yes","NC2","NC","Larval"
"472","34","Yes","138.4","No",NA,NA,"","","NC2","NC","Larval"
"473","34","Yes","136.23","No",NA,NA,"","","NC2","NC","Larval"
"474","21","Yes","165.04","No",NA,NA,"","","NC2","NC","Larval"
"475","21","Yes","214.54","Yes","11","113.57","male","No","NC2","NC","Larval"
"484","34","Yes","104.52","No",NA,NA,"","","NC2","NC","Larval"
"493","16","Yes","187.25","No",NA,NA,"","","NC2","NC","Larval"
"495","16","Yes","168.93","Yes","17","123.72","male","Yes","NC2","NC","Larval"
"497","16","Yes","198.79","No",NA,NA,"","","NC2","NC","Larval"
"498","21","Yes","171.02","No",NA,NA,"","","NC2","NC","Larval"
"500","21","Yes","153.4","Yes","11","59.19","male","Yes","NC2","NC","Larval"
"507","21","Yes","192.35","Yes","11","78.99","female","Yes","NC2","NC","Larval"
"510","21","Yes","172.57","No",NA,NA,"","","NC2","NC","Larval"
