"","CID","Treatment","Surv.4th","Time.4th","Mass.4th","Surv.5th","Time.5th","Mass.5th","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population"
"83","352","16","Y","14","9","Y","22","41.5","34","Y","N","34","195.9","N",NA,NA,"","","NC1","NC"
"84","353","16","Y","16","12.2","Y","22","36.3","34","Y","N","34","212.5","N",NA,NA,"","","NC1","NC"
"85","354","16","Y","16","12","Y","22","51.5","32","Y","N","32","256.3","N",NA,NA,"","","NC1","NC"
"86","355","16","Y","15","8.7","Y","23","31.3","38","Y","N","38","221.5","N",NA,NA,"","","NC1","NC"
"87","357","16","Y","16","7.1","Y","23","34.4","34","Y","N","34","210.4","N",NA,NA,"","","NC1","NC"
"88","359","16","Y","16","9.6","Y","23","40.9","42","Y","N","42","174","N",NA,NA,"","","NC1","NC"
"89","360","16","Y","16","7.9","Y","24","41.2","38","Y","N","38","225.3","N",NA,NA,"","","NC1","NC"
"90","361","16","Y","14","7.1","Y","22","33.7","36","Y","N","36","166.9","N",NA,NA,"","","NC1","NC"
"91","363","16","Y","18","7.5","Y","26","33","38","Y","N","38","198.6","N",NA,NA,"","","NC1","NC"
"92","364","16","Y","16","10.1","Y","23","41.2","36","Y","N","36","224.5","N",NA,NA,"","","NC1","NC"
"93","366","16","Y","16","7.9","Y","24","40.8","37","Y","N","37","215.8","N",NA,NA,"","","NC1","NC"
"94","367","16","Y","18","12.1","Y","24","37.2","35","Y","N","35","220.7","N",NA,NA,"","","NC1","NC"
"95","368","16","Y","18","9.6","Y","26","37.7","38","Y","N","38","237.6","N",NA,NA,"","","NC1","NC"
"96","369","16","Y","19","8.3","Y","26","38.7","37","Y","N","37","239.3","N",NA,NA,"","","NC1","NC"
"97","371","16","Y","17","8.3","Y","24","36.8","38","Y","N","38","234.7","N",NA,NA,"","","NC1","NC"
"98","372","16","Y","17","11","Y","23","45.1","36","Y","N","36","275","N",NA,NA,"","","NC1","NC"
"99","373","16","Y","19","12.3","Y","25","39.8","37","Y","N","37","188.5","N",NA,NA,"","","NC1","NC"
"100","375","16","Y","17","10.4","Y","23","31.6","35","Y","N","35","202.1","N",NA,NA,"","","NC1","NC"
"101","376","16","Y","16","9.5","Y","23","44","35","Y","N","35","261.2","N",NA,NA,"","","NC1","NC"
"102","382","16","Y","18","7","Y","26","31.5","40","Y","N","40","188.8","N",NA,NA,"","","NC1","NC"
"103","385","16","Y","20","8.7","Y","28","34.5","41","Y","N","41","205.2","N",NA,NA,"","","NC1","NC"
"104","70","30","Y","5","18.1","Y","7","54.7",NA,"Y","Y","10","174.9","N",NA,NA,"","","NC1","NC"
"105","73","30","Y","5","27.7","Y","6","45.2",NA,"Y","Y","10","234.7","N",NA,NA,"","","NC1","NC"
"106","75","30","Y","5","18.6","Y","7","96.2",NA,"Y","Y","10","178.9","N",NA,NA,"","","NC1","NC"
"107","88","26","Y","5","8.7","Y","7","34.1",NA,"Y","Y","12","226.28","N",NA,NA,"","","NC1","NC"
"108","93","26","Y","6","13.5","Y","8","49.3",NA,"Y","Y","12","157.1","N",NA,NA,"","","NC1","NC"
"109","100","30","Y","5","14.3","Y","7","74.7",NA,"Y","Y","10","201.1","N",NA,NA,"","","NC1","NC"
"110","101","30","Y","5","7.6","Y","7","45.2",NA,"Y","Y","10","167.1","N",NA,NA,"","","NC1","NC"
"111","102","30","Y","5","10.5","Y","7","63.1",NA,"Y","Y","10","193.7","N",NA,NA,"","","NC1","NC"
"112","111","30","Y","6","14.5","Y","8","63.8",NA,"Y","Y","11","177.8","N",NA,NA,"","","NC1","NC"
"113","129","26","Y","6","11.4","Y","8","63.2",NA,"Y","Y","11","164.8","N",NA,NA,"","","NC1","NC"
"114","132","26","Y","6","21.8","Y","8","96.2",NA,"Y","Y","11","234.02","N",NA,NA,"","","NC1","NC"
"115","153","26","Y","7","13.9","Y","9","68.8",NA,"Y","Y","12","195.1","N",NA,NA,"","","NC1","NC"
"116","154","26","Y","6","8.4","Y","8","45.7",NA,"Y","Y","11","163.3","N",NA,NA,"","","NC1","NC"
"117","156","26","Y","6","14.3","Y","8","67.8",NA,"Y","Y","11","181.6","N",NA,NA,"","","NC1","NC"
"118","160","26","Y","6","12.3","Y","8","51.9",NA,"Y","Y","11","195.9","N",NA,NA,"","","NC1","NC"
"119","164","34","Y","6","11.2","Y","9","44.5",NA,"Y","Y","14","124.6","N",NA,NA,"","","NC1","NC"
"120","166","34","Y","7","9.2","Y","10","40.4",NA,"Y","Y","15","112.1","N",NA,NA,"","","NC1","NC"
"121","167","34","Y","6","5.9","Y","9","37.3",NA,"Y","Y","14","105.2","N",NA,NA,"","","NC1","NC"
"122","176","30","Y","6","26.4","Y","8","132.3",NA,"Y","Y","11","242.8","N",NA,NA,"","","NC1","NC"
"123","184","30","Y","5","12.5","Y","7","54.8",NA,"Y","Y","11","182.9","N",NA,NA,"","","NC1","NC"
"124","195","21","Y","9","11.4","Y","12","37.9",NA,"Y","Y","20","177.6","N",NA,NA,"","","NC1","NC"
"125","196","21","Y","9","11.1","Y","12","38.9",NA,"Y","Y","20","174.8","N",NA,NA,"","","NC1","NC"
"126","199","34","Y","7","12.4","Y","9","44.4",NA,"Y","Y","15","142.7","N",NA,NA,"","","NC1","NC"
"127","201","34","Y","7","17.7","Y","9","47.4",NA,"Y","Y","14","138.4","N",NA,NA,"","","NC1","NC"
"128","211","34","Y","5","8.7","Y","8","35.68",NA,"Y","Y","13","129","N",NA,NA,"","","NC1","NC"
"129","212","34","Y","8","14.3","Y","11","46.61",NA,"Y","Y","16","142.8","N",NA,NA,"","","NC1","NC"
"130","219","30","Y","5","7.8","Y","7","40.3",NA,"Y","Y","12","199.9","N",NA,NA,"","","NC1","NC"
"131","220","30","Y","5","11.6","Y","7","37.1",NA,"Y","Y","12","166.4","N",NA,NA,"","","NC1","NC"
"132","223","30","Y","6","8.8","Y","8","60.9",NA,"Y","Y","11","176.9","N",NA,NA,"","","NC1","NC"
"133","228","30","Y","5","14.2","Y","7","70.3",NA,"Y","Y","10","146.3","N",NA,NA,"","","NC1","NC"
"134","229","30","Y","5","25","Y","6","51.3",NA,"Y","Y","9","165.5","N",NA,NA,"","","NC1","NC"
"135","231","21","Y","10","12.9","Y","13","37.5",NA,"Y","Y","21","170.3","N",NA,NA,"","","NC1","NC"
"136","234","30","Y","6","10.6","Y","8","54.34",NA,"Y","Y","12","176.1","N",NA,NA,"","","NC1","NC"
"137","237","30","Y","6","14.3","Y","8","47.52",NA,"Y","Y","13","195.2","N",NA,NA,"","","NC1","NC"
"138","238","30","Y","6","10.1","Y","8","46.07",NA,"Y","Y","13","184.9","N",NA,NA,"","","NC1","NC"
"139","241","30","Y","6","18.8","Y","8","78.95",NA,"Y","Y","11","180.7","N",NA,NA,"","","NC1","NC"
"140","242","30","Y","6","16.1","Y","8","48",NA,"Y","Y","12","154.7","N",NA,NA,"","","NC1","NC"
"141","243","30","Y","6","16.4","Y","8","73.9",NA,"Y","Y","12","190.9","N",NA,NA,"","","NC1","NC"
"142","244","30","Y","6","13.9","Y","8","52.81",NA,"Y","Y","12","179.2","N",NA,NA,"","","NC1","NC"
"143","248","34","Y","6","13.9","Y","10","54.6",NA,"Y","Y","14","125.8","N",NA,NA,"","","NC1","NC"
"144","249","34","Y","6","16.6","Y","9","44",NA,"Y","Y","14","113.5","N",NA,NA,"","","NC1","NC"
"145","250","34","Y","6","15.4","Y","8","33.4",NA,"Y","Y","13","106.3","N",NA,NA,"","","NC1","NC"
"146","262","34","Y","7","10.1","Y","10","57.1",NA,"Y","Y","14","167.1","N",NA,NA,"","","NC1","NC"
"147","263","34","Y","7","12.9","Y","9","39.8",NA,"Y","Y","14","144.3","N",NA,NA,"","","NC1","NC"
"148","264","34","Y","7","14.9","Y","10","53",NA,"Y","Y","14","147.8","N",NA,NA,"","","NC1","NC"
"149","288","26","N",NA,NA,"Y","8","52.59",NA,"Y","Y","12","172.8","N",NA,NA,"","","NC1","NC"
"150","301","21","Y","8","5.5","Y","12","31.7",NA,"Y","Y","19","160.6","N",NA,NA,"","","NC1","NC"
"151","379","16","Y","17","6.9","Y","25","53.8",NA,"Y","Y","38","211.6","N",NA,NA,"","","NC1","NC"
"152","71","30","Y","5","22","Y","7","100.2",NA,"Y","Y","10","202.8","Y","7","88.2","F","Y","NC1","NC"
"153","72","30","Y","5","12.9","Y","7","56.3",NA,"Y","Y","11","246.5","Y","7","124.4","M","Y","NC1","NC"
"154","74","30","Y","5","15.5","Y","7","89.9",NA,"Y","Y","10","182.9","Y","6","78.6","M","N","NC1","NC"
"155","76","30","Y","5","11.8","Y","7","49.2",NA,"Y","Y","10","175.4","Y","6","79.6","F","Y","NC1","NC"
"156","78","30","Y","5","8.7","Y","7","47.2",NA,"Y","Y","11","196.6","Y","7","107.8","F","N","NC1","NC"
"157","79","30","Y","5","12.2","Y","7","44.9",NA,"Y","Y","11","209.6","Y","7","104.5","M","Y","NC1","NC"
"158","89","26","Y","5","8","Y","7","38.4",NA,"Y","Y","12","202.3","Y","6","138.3","F","Y","NC1","NC"
"159","90","26","Y","6","9.1","Y","8","43.9",NA,"Y","Y","12","215.4","Y","7","99.8","M","Y","NC1","NC"
"160","92","26","Y","6","14.8","Y","8","66.5",NA,"Y","Y","12","205.41","Y","6","106.7","M","Y","NC1","NC"
"161","95","26","Y","6","20.1","Y","8","68.5",NA,"Y","Y","12","214","Y","6","98.2","M","Y","NC1","NC"
"162","96","26","Y","6","10.5","Y","8","42.8",NA,"Y","Y","12","218.9","Y","7","105.8","F","Y","NC1","NC"
"163","98","26","Y","6","12.1","Y","8","43.1",NA,"Y","Y","12","205.5","Y","7","96.7","M","Y","NC1","NC"
"164","103","30","Y","5","10.5","Y","7","65.4",NA,"Y","Y","10","185.4","Y","6","122.5","F","Y","NC1","NC"
"165","104","30","Y","5","12.1","Y","7","57.2",NA,"Y","Y","10","165.4","Y","7","74.8","F","Y","NC1","NC"
"166","105","30","Y","6","16.4","Y","8","64.4",NA,"Y","Y","11","198.6","Y","7","100.7","F","Y","NC1","NC"
"167","108","30","Y","5","9.2","Y","7","48.7",NA,"Y","Y","10","195.3","Y","6","87","F","Y","NC1","NC"
"168","109","30","Y","5","6.7","Y","8","93.2",NA,"Y","Y","11","190","Y","6","105.9","F","Y","NC1","NC"
"169","110","30","Y","6","17.5","Y","8","113.6",NA,"Y","Y","11","209.1","Y","6","171.4","M","N","NC1","NC"
"170","112","30","Y","6","14.8","Y","8","92.1",NA,"Y","Y","11","207.4","Y","6","104.5","M","Y","NC1","NC"
"171","113","30","Y","5","9.2","Y","7","45.1",NA,"Y","Y","10","162.3","Y","7","78.6","F","Y","NC1","NC"
"172","116","30","Y","4","10.8","Y","6","49.5",NA,"Y","Y","9","175.6","Y","6","102.7","M","N","NC1","NC"
"173","124","26","Y","7","15.6","Y","9","69.8",NA,"Y","Y","12","199.57","Y","7","85.9","M","Y","NC1","NC"
"174","126","26","Y","7","13.7","Y","9","51.7",NA,"Y","Y","13","232.9","Y","7","127","","Y","NC1","NC"
"175","127","26","Y","5","21.2","Y","7","92.3",NA,"Y","Y","10","209.78","Y","7","91.7","M","Y","NC1","NC"
"176","130","26","Y","6","10.7","Y","8","56.7",NA,"Y","Y","12","274.7","Y","7","202.1","M","N","NC1","NC"
"177","131","26","Y","6","8.5","Y","8","37.4",NA,"Y","Y","12","230.6","Y","7","108.5","F","Y","NC1","NC"
"178","133","26","Y","6","20.4","Y","8","88.7",NA,"Y","Y","11","215.92","Y","7","141.1","F","N","NC1","NC"
"179","134","26","Y","7","22.5","Y","9","108.4",NA,"Y","Y","12","227.08","Y","7","102.5","M","Y","NC1","NC"
"180","135","26","Y","7","15.8","Y","9","49.3",NA,"Y","Y","12","196.6","Y","7","82.5","M","Y","NC1","NC"
"181","136","26","Y","7","8.3","Y","9","37.8",NA,"Y","Y","13","215.7","Y","7","137.2","M","N","NC1","NC"
"182","137","26","Y","7","9.8","Y","9","43.9",NA,"Y","Y","13","216.7","Y","7","103.7","F","N","NC1","NC"
"183","139","30","Y","5","11.1","Y","7","58.3",NA,"Y","Y","10","196.5","Y","7","205.3","F","N","NC1","NC"
"184","140","30","Y","6","14.7","Y","8","62.7",NA,"Y","Y","11","177","Y","6","85.2","F","Y","NC1","NC"
"185","142","30","Y","6","26.4","Y","7","45.8",NA,"Y","Y","10","179.2","Y","6","119.6","M","N","NC1","NC"
"186","146","30","Y","5","12.2","Y","7","64.4",NA,"Y","Y","10","211.1","Y","6","154.3","F","N","NC1","NC"
"187","152","26","Y","6","10","Y","8","50.9",NA,"Y","Y","11","186.5","Y","7","123.3","M","Y","NC1","NC"
"188","157","26","Y","6","10.6","Y","8","47.9",NA,"Y","Y","12","260.6","Y","10","160.5","M","N","NC1","NC"
"189","159","26","Y","7","12.4","Y","9","47.5",NA,"Y","Y","13","264.9","Y","7","147","F","Y","NC1","NC"
"190","161","26","Y","7","7.9","Y","9","34.5",NA,"Y","Y","13","185.3","Y","7","106.9","F","Y","NC1","NC"
"191","180","30","Y","6","27.6","Y","7","39.3",NA,"Y","Y","11","218.6","Y","7","176.2","F","N","NC1","NC"
"192","182","30","Y","5","14.9","Y","7","78.1",NA,"Y","Y","10","195.2","Y","6","92.1","M","Y","NC1","NC"
"193","183","30","Y","5","14.3","Y","7","74.2",NA,"Y","Y","10","182.5","Y","13","57.1","M","N","NC1","NC"
"194","186","26","Y","9","13.3","Y","12","29.8",NA,"Y","Y","18","97.1","Y","7","59.8","M","Y","NC1","NC"
"195","188","26","Y","7","12.1","Y","10","114.1",NA,"Y","Y","13","195","Y","7","101.4","M","N","NC1","NC"
"196","222","30","Y","5","32.8","Y","6","51.8",NA,"Y","Y","10","227.9","Y","12","64.6","F","N","NC1","NC"
"197","226","30","Y","5","18.5","Y","7","85.8",NA,"Y","Y","10","179.6","Y","12","32.5","","N","NC1","NC"
"198","240","30","Y","6","34.6","Y","7","57.6",NA,"Y","Y","10","160.9","Y","7","81","F","Y","NC1","NC"
"199","267","26","Y","6","25.9","Y","8","69.8",NA,"Y","Y","12","213.8","Y","7","106.4","M","N","NC1","NC"
"200","272","26","Y","7","33.1","Y","9","169.1",NA,"Y","Y","11","198.5","Y","7","112.5","F","N","NC1","NC"
"201","114","30","Y","6","9.3","Y","9","49.1","13","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"202","144","30","Y","6","11.4","Y","8","37.4","13","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"203","165","34","Y","8","15.5","Y","12","66","15","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"204","171","34","Y","8","11.4","Y","11","52.5","18","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"205","198","34","Y","8","11.4","Y","11","43.6","14","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"206","200","34","Y","7","11.4","Y","10","34","18","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"207","205","34","Y","7","10.4","Y","10","39.5","22","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"208","213","34","Y","8","9.6","Y","12","34.4","17","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"209","216","34","Y","10","10.3","Y","13","37.4","19","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"210","247","34","Y","6","14.6","Y","11","37.9","17","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"211","251","34","Y","6","17.3","Y","10","57.4","21","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"212","252","34","Y","9","4.6","Y","15","29.3","25","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"213","255","34","Y","7","14.8","Y","12","54","15","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"214","282","26","Y","7","19.63","Y","11","58.9","19","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"215","284","26","Y","7","27","Y","9","49.5","16","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"216","285","26","Y","7","24.7","Y","9","48.3","17","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"217","302","21","Y","9","12.17","Y","13","51.9","20","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"218","303","21","Y","8","7.9","Y","12","38.7","19","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"219","307","21","Y","9","8.3","Y","14","39.2","21","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"220","308","21","Y","9","9.6","Y","15","46.6","35","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"221","309","21","Y","9","10","Y","15","47.7","38","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"222","310","21","Y","10","5.6","Y","14","32.7","22","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"223","311","21","Y","10","6.2","Y","14","45.1","19","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"224","313","21","Y","9","8.1","Y","13","38","21","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"225","314","21","Y","8","6.4","Y","13","39.3","20","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"226","318","21","Y","10","6.7","Y","17","48","38","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"227","329","21","Y","11","9.7","Y","17","53.9","35","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"228","333","16","Y","15","8.5","Y","23","43.4","41","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"229","334","16","Y","14","10.1","Y","20","35.7","31","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"230","344","16","Y","15","10","Y","22","40.8","31","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"231","350","16","Y","14","6.3","Y","22","33.2","34","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"232","356","16","Y","15","9","Y","22","38","32","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"233","358","16","Y","14","8.9","Y","22","36.3","34","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
"234","365","16","Y","15","8.1","Y","22","48.7","31","N","",NA,NA,"N",NA,NA,"","","NC1","NC"
