"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"524",1032,21,NA,"Y","Y",18,184.88,"WA2"
"525",1033,26,NA,"Y","Y",14,179.33,"WA2"
"526",1034,30,3,"N",NA,NA,NA,"WA2"
"527",1035,34,4,"N",NA,NA,NA,"WA2"
"528",1036,16,NA,"Y","Y",28,192.35,"WA2"
"529",1037,21,NA,"Y","Y",21,198,"WA2"
"530",1038,26,17,"Y","N",17,NA,"WA2"
"531",1039,30,NA,"Y","Y",13,166.47,"WA2"
"532",1040,34,NA,"Y","Y",14,132.28,"WA2"
"533",1041,16,NA,"Y","Y",28,151.14,"WA2"
"534",1042,21,NA,"Y","Y",18,184.29,"WA2"
"535",1043,26,NA,"Y","Y",14,179.62,"WA2"
"536",1044,30,NA,"Y","Y",14,149.14,"WA2"
"537",1045,34,NA,"Y","Y",13,139.27,"WA2"
"538",1046,16,NA,"Y","Y",32,175.91,"WA2"
"539",1047,21,5,"N",NA,NA,NA,"WA2"
"540",1048,26,NA,"Y","Y",14,135.29,"WA2"
"541",1049,30,NA,"Y","Y",13,142.36,"WA2"
"542",1050,34,NA,"Y","Y",14,136.56,"WA2"
"543",1051,16,NA,"Y","Y",29,188.31,"WA2"
"544",1052,21,NA,"Y","Y",20,192.12,"WA2"
"545",1053,26,NA,"Y","Y",13,184.93,"WA2"
"546",1054,30,NA,"Y","Y",12,148.71,"WA2"
"547",1055,34,17,"Y","N",17,NA,"WA2"
"548",1056,16,32,"Y","N",32,NA,"WA2"
"549",1057,21,19,"Y","N",19,NA,"WA2"
"550",1058,26,3,"N",NA,NA,NA,"WA2"
"551",1059,30,NA,"Y","Y",13,136.36,"WA2"
"552",1060,34,10,"N",NA,NA,NA,"WA2"
"553",1061,16,NA,"Y","Y",29,183.61,"WA2"
"554",1062,21,NA,"Y","Y",18,168.6,"WA2"
"555",1063,26,NA,"Y","Y",13,85.5,"WA2"
"556",1064,30,3,"N",NA,NA,NA,"WA2"
"557",1065,34,NA,"Y","Y",14,139.91,"WA2"
"558",1066,16,NA,"Y","Y",29,212.26,"WA2"
"559",1067,21,NA,"Y","Y",19,203.49,"WA2"
"560",1068,26,NA,"Y","Y",14,181.89,"WA2"
"561",1069,30,NA,"Y","Y",13,176.29,"WA2"
"562",1070,34,NA,"Y","Y",16,167.06,"WA2"
"563",1071,16,32,"Y","N",32,NA,"WA2"
"564",1072,21,NA,"Y","Y",16,178.92,"WA2"
"565",1073,34,6,"N",NA,NA,NA,"WA2"
"566",1074,30,NA,"Y","Y",12,134.43,"WA2"
"567",1075,34,NA,"Y","Y",12,139.28,"WA2"
"568",1076,16,NA,"Y","Y",27,195.23,"WA2"
"569",1077,21,15,"N",NA,NA,NA,"WA2"
"570",1078,26,NA,"Y","Y",15,110.97,"WA2"
"571",1079,30,NA,"Y","Y",12,170.44,"WA2"
"572",1080,34,20,"N",NA,NA,NA,"WA2"
"573",1081,16,NA,"Y","Y",28,166.65,"WA2"
"574",1082,21,NA,"Y","Y",16,148.2,"WA2"
"575",1083,26,3,"N",NA,NA,NA,"WA2"
"576",1084,30,NA,"Y","Y",11,104.69,"WA2"
"577",1085,34,15,"Y","N",15,NA,"WA2"
"578",1086,16,4,"N",NA,NA,NA,"WA2"
"579",1087,21,NA,"Y","Y",18,153.97,"WA2"
"580",1088,26,NA,"Y","Y",15,147.53,"WA2"
"581",1089,30,6,"N",NA,NA,NA,"WA2"
"582",1090,34,NA,"Y","Y",12,133.83,"WA2"
"583",1091,16,31,"Y","N",31,NA,"WA2"
"584",1092,21,2,"N",NA,NA,NA,"WA2"
"585",1093,26,2,"N",NA,NA,NA,"WA2"
"586",1094,30,3,"N",NA,NA,NA,"WA2"
"587",1095,34,15,"Y","N",15,NA,"WA2"
"588",1096,16,31,"N",NA,NA,NA,"WA2"
"589",1097,21,31,"N",NA,NA,NA,"WA2"
"590",1098,26,25,"N",NA,NA,NA,"WA2"
"591",1099,30,NA,"Y","Y",12,149.35,"WA2"
"592",1100,34,11,"N",NA,NA,NA,"WA2"
"593",1101,16,NA,"Y","Y",31,194.76,"WA2"
"594",1102,21,NA,"Y","Y",21,149.09,"WA2"
"595",1103,26,3,"N",NA,NA,NA,"WA2"
"596",1104,30,NA,"Y","Y",15,145.36,"WA2"
"597",1105,34,4,"N",NA,NA,NA,"WA2"
"598",1106,16,31,"Y","N",31,NA,"WA2"
"599",1107,21,4,"N",NA,NA,NA,"WA2"
"600",1108,26,NA,"Y","Y",13,140.12,"WA2"
"601",1109,30,NA,"Y","Y",11,144.04,"WA2"
"602",1110,34,2,"N",NA,NA,NA,"WA2"
"603",1111,16,NA,"Y","Y",46,176.32,"WA2"
"604",1112,21,NA,"Y","Y",18,156.04,"WA2"
"605",1113,26,NA,"Y","Y",13,157.59,"WA2"
"606",1114,30,3,"N",NA,NA,NA,"WA2"
"607",1115,34,7,"N",NA,NA,NA,"WA2"
"608",1116,16,NA,"Y","Y",31,156.69,"WA2"
"609",1117,21,NA,"Y","Y",18,195.13,"WA2"
"610",1118,26,NA,"Y","Y",12,129.21,"WA2"
"611",11182,26,NA,"Y","Y",13,160.55,"WA2"
"612",1119,30,NA,"Y","Y",13,147.42,"WA2"
"613",1120,34,20,"N",NA,NA,NA,"WA2"
"614",1121,16,35,"N",NA,NA,NA,"WA2"
"615",1122,21,NA,"N",NA,19,150,"WA2"
"616",1123,26,2,"N",NA,NA,NA,"WA2"
"617",1124,30,NA,"Y","Y",11,160.84,"WA2"
"618",1125,34,NA,"Y","Y",13,145.16,"WA2"
"619",1126,16,NA,"Y","Y",31,204.9,"WA2"
"620",1127,21,22,"Y","N",22,NA,"WA2"
"621",1128,26,NA,"Y","Y",13,196.37,"WA2"
"622",1129,30,8,"N",NA,NA,NA,"WA2"
"623",1130,34,2,"N",NA,NA,NA,"WA2"
"624",1131,16,35,"Y","N",35,NA,"WA2"
"625",1132,21,NA,"Y","Y",21,170.91,"WA2"
"626",1133,26,NA,"Y","Y",15,132.08,"WA2"
"627",1134,30,11,"N",NA,NA,NA,"WA2"
"628",1135,34,NA,"Y","Y",15,102.98,"WA2"
"629",1136,16,35,"Y","N",35,NA,"WA2"
"630",1137,21,25,"Y","N",25,NA,"WA2"
"631",1138,26,NA,"Y","Y",13,125.31,"WA2"
"632",1139,34,20,"N",NA,NA,NA,"WA2"
