"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"121",167,34,NA,"Y","Y",14,105.2,"NC"
"122",176,30,NA,"Y","Y",11,242.8,"NC"
"123",184,30,NA,"Y","Y",11,182.9,"NC"
"124",195,21,NA,"Y","Y",20,177.6,"NC"
"125",196,21,NA,"Y","Y",20,174.8,"NC"
"126",199,34,NA,"Y","Y",15,142.7,"NC"
"127",201,34,NA,"Y","Y",14,138.4,"NC"
"128",211,34,NA,"Y","Y",13,129,"NC"
"129",212,34,NA,"Y","Y",16,142.8,"NC"
"130",219,30,NA,"Y","Y",12,199.9,"NC"
"131",220,30,NA,"Y","Y",12,166.4,"NC"
"132",223,30,NA,"Y","Y",11,176.9,"NC"
"133",228,30,NA,"Y","Y",10,146.3,"NC"
"134",229,30,NA,"Y","Y",9,165.5,"NC"
"135",231,21,NA,"Y","Y",21,170.3,"NC"
"136",234,30,NA,"Y","Y",12,176.1,"NC"
"137",237,30,NA,"Y","Y",13,195.2,"NC"
"138",238,30,NA,"Y","Y",13,184.9,"NC"
"139",241,30,NA,"Y","Y",11,180.7,"NC"
"140",242,30,NA,"Y","Y",12,154.7,"NC"
"141",243,30,NA,"Y","Y",12,190.9,"NC"
"142",244,30,NA,"Y","Y",12,179.2,"NC"
"143",248,34,NA,"Y","Y",14,125.8,"NC"
"144",249,34,NA,"Y","Y",14,113.5,"NC"
"145",250,34,NA,"Y","Y",13,106.3,"NC"
"146",262,34,NA,"Y","Y",14,167.1,"NC"
"147",263,34,NA,"Y","Y",14,144.3,"NC"
"148",264,34,NA,"Y","Y",14,147.8,"NC"
"149",288,26,NA,"Y","Y",12,172.8,"NC"
"150",301,21,NA,"Y","Y",19,160.6,"NC"
"151",379,16,NA,"Y","Y",38,211.6,"NC"
"152",71,30,NA,"Y","Y",10,202.8,"NC"
"153",72,30,NA,"Y","Y",11,246.5,"NC"
"154",74,30,NA,"Y","Y",10,182.9,"NC"
"155",76,30,NA,"Y","Y",10,175.4,"NC"
"156",78,30,NA,"Y","Y",11,196.6,"NC"
"157",79,30,NA,"Y","Y",11,209.6,"NC"
"158",89,26,NA,"Y","Y",12,202.3,"NC"
"159",90,26,NA,"Y","Y",12,215.4,"NC"
"160",92,26,NA,"Y","Y",12,205.41,"NC"
"161",95,26,NA,"Y","Y",12,214,"NC"
"162",96,26,NA,"Y","Y",12,218.9,"NC"
"163",98,26,NA,"Y","Y",12,205.5,"NC"
"164",103,30,NA,"Y","Y",10,185.4,"NC"
