"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Sex","Population","Type"
"198",30,10,17,"Yes","Yes","81","Yes","F","NC","Larval"
"199",26,12,19,"Yes","No","106.4","Yes","M","NC","Larval"
"200",26,11,18,"Yes","No","112.5","Yes","F","NC","Larval"
"380",30,11,18,"Yes","Yes","85.7","Yes","F","NC","Larval"
"381",30,11,18,"Yes","Yes","90.4","Yes","F","NC","Larval"
"382",30,11,17,"Yes","Yes","79.2","Yes","M","NC","Larval"
"210",21,22,35,"Yes","No",NA,"Yes","","NC","Larval"
"410",21,19,30,"Yes","Yes","125.13","Yes","male","NC","Larval"
"610",21,20,NA,"Yes","",NA,"No","","NC","Larval"
"1410",21,24,NA,"Yes","",NA,"No","","NC","Larval"
"1910",21,25,NA,"Yes","",NA,"No","","NC","Larval"
"211",21,23,35,"Yes","Yes","214.13","Yes","female","NC","Larval"
"221",21,25,36,"Yes","Yes","68.46","Yes","male","NC","Larval"
"231",21,23,33,"Yes","No","134.88","Yes","female","NC","Larval"
"241",16,34,50,"Yes","No","129.09","Yes","male","NC","Larval"
"271",16,36,53,"Yes","Yes","81.27","Yes","male","NC","Larval"
"301",21,25,35,"Yes","Yes","126.03","Yes","male","NC","Larval"
"311",21,23,33,"Yes","Yes","186.06","Yes","male","NC","Larval"
"331",21,24,34,"Yes","Yes","90.83","Yes","female","NC","Larval"
"341",21,34,46,"Yes","Yes","64.68","Yes","male","NC","Larval"
"351",21,25,35,"Yes","Yes","154.54","Yes","male","NC","Larval"
"361",21,22,33,"Yes","Yes","98.25","Yes","female","NC","Larval"
"383",16,35,NA,"Yes","",NA,"No","","NC","Larval"
"401",16,37,NA,"Yes","",NA,"No","","NC","Larval"
"421",21,24,35,"Yes","Yes","144.12","Yes","female","NC","Larval"
"441",21,29,40,"Yes","Yes","82.21","Yes","male","NC","Larval"
"461",34,15,NA,"Yes","",NA,"No","","NC","Larval"
"491",34,17,NA,"Yes","",NA,"No","","NC","Larval"
"531",16,32,NA,"Yes","",NA,"No","","NC","Larval"
"541",16,44,64,"Yes","Yes","70.12","Yes","Female","NC","Larval"
"581",16,36,54,"Yes","Yes","207.33","Yes","male","NC","Larval"
"591",16,46,63,"Yes","Yes","78.2","Yes","male","NC","Larval"
"631",16,36,52,"Yes","Yes","72.45","Yes","female","NC","Larval"
"671",34,14,NA,"Yes","",NA,"No","","NC","Larval"
"681",34,16,24,"Yes","No",NA,"Yes","","NC","Larval"
"711",34,12,20,"Yes","No","80.92","Yes","male","NC","Larval"
"741",16,39,NA,"Yes","",NA,"No","","NC","Larval"
"801",16,29,46,"Yes","Yes","85.11","Yes","male","NC","Larval"
"901",34,16,NA,"Yes","",NA,"No","","NC","Larval"
"911",34,16,NA,"Yes","",NA,"No","","NC","Larval"
"921",21,25,NA,"Yes","",NA,"No","","NC","Larval"
"931",21,28,39,"Yes","No","113.57","Yes","male","NC","Larval"
"1021",34,17,NA,"Yes","",NA,"No","","NC","Larval"
"1111",16,41,NA,"Yes","",NA,"No","","NC","Larval"
"1131",16,36,53,"Yes","Yes","123.72","Yes","male","NC","Larval"
"1151",16,38,NA,"Yes","",NA,"No","","NC","Larval"
"1161",21,25,NA,"Yes","",NA,"No","","NC","Larval"
"1181",21,25,36,"Yes","Yes","59.19","Yes","male","NC","Larval"
"1251",21,24,35,"Yes","Yes","78.99","Yes","female","NC","Larval"
"1281",21,27,NA,"Yes","",NA,"No","","NC","Larval"
"1301",21,21,NA,"Yes","",NA,"No","","NC","Larval"
"1311",21,22,32,"Yes","Yes","85.06","Yes","female","NC","Larval"
"1471",16,45,NA,"Yes","",NA,"No","","NC","Larval"
"1501",16,33,NA,"Yes","",NA,"No","","NC","Larval"
