"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Sex","Population","Type"
"633",26,14,7,"Yes","Yes","73.19",NA,"M","Yes","Larval"
"643",26,14,7,"Yes","Yes","76.97",NA,"F","Yes","Larval"
"663",26,13,7,"Yes","Yes","72.88",NA,"F","Yes","Larval"
"683",26,11,8,"Yes","Yes","64.16",NA,"M","Yes","Larval"
"692",30,13,7,"Yes","Yes","85.72",NA,"F","Yes","Larval"
"715",30,12,7,"Yes","Yes","83.81",NA,"M","Yes","Larval"
"743",30,10,5,"Yes","Yes","66.96",NA,"F","Yes","Larval"
"783",30,12,7,"Yes","Yes","73.66",NA,"F","Yes","Larval"
"793",30,11,7,"Yes","Yes","78.59",NA,"M","Yes","Larval"
"815",30,12,7,"Yes","Yes","69.65",NA,"M","Yes","Larval"
"832",30,12,6,"Yes","Yes","84.87",NA,"M","Yes","Larval"
"842",30,12,6,"Yes","Yes","110.64",NA,"F","Yes","Larval"
"852",30,14,7,"Yes","Yes","39.68",NA,"M","Yes","Larval"
"872",30,12,8,"Yes","Yes","78.74",NA,"F","Yes","Larval"
"883",30,11,6,"Yes","Yes","85.18",NA,"F","Yes","Larval"
"1042",34,14,8,"Yes","Yes","48.3",NA,"M","Yes","Larval"
"3312",21,21,9,"Yes",NA,"71.3","Yes","F","WA","Larval"
"3412",21,24,9,"Yes",NA,"105.38","Yes","M","WA","Larval"
"3512",21,20,9,"Yes",NA,"280.03","Yes","F","WA","Larval"
"3812",21,18,10,"Yes",NA,"95.55","Yes","M","WA","Larval"
"393",21,21,11,"Yes",NA,"69.07","Yes","M","WA","Larval"
"404",21,18,10,"Yes",NA,"100.37","Yes","M","WA","Larval"
"434",21,18,10,"Yes",NA,"90.6","Yes","M","WA","Larval"
"443",21,19,10,"Yes",NA,"104.06","Yes","M","WA","Larval"
"453",21,16,10,"Yes",NA,"116.45","Yes","M","WA","Larval"
"534",21,18,13,"Yes",NA,"109.12","Yes","M","WA","Larval"
"544",21,18,10,"Yes",NA,"84.76","Yes","M","WA","Larval"
"583",26,14,7,"Yes",NA,"80.66","Yes","M","WA","Larval"
"604",26,14,6,"Yes",NA,"100.32","Yes","M","WA","Larval"
"644",26,14,6,"Yes",NA,"100.31","Yes","M","WA","Larval"
"654",26,14,6,"Yes",NA,"98.83","Yes","F","WA","Larval"
"664",26,14,6,"Yes",NA,"65.84","Yes","F","WA","Larval"
"674",26,13,7,"Yes",NA,"100.79","Yes","F","WA","Larval"
"703",26,14,6,"Yes",NA,"91.16","Yes","M","WA","Larval"
"716",26,15,6,"Yes",NA,"69.54","Yes","M","WA","Larval"
"733",26,15,5,"Yes",NA,"74.66","Yes","F","WA","Larval"
"774",26,13,5,"Yes",NA,"77.07","Yes","F","WA","Larval"
"784",26,13,6,"Yes",NA,"82.42","Yes","F","WA","Larval"
"794",26,12,7,"Yes",NA,"58.93","Yes","F","WA","Larval"
"816",26,13,6,"Yes",NA,"180.54","Yes","F","WA","Larval"
"823",26,15,5,"Yes",NA,"68.05","Yes","M","WA","Larval"
"833",26,13,6,"Yes",NA,"60.79","Yes","F","WA","Larval"
"843",26,13,5,"Yes",NA,"75.15","Yes","F","WA","Larval"
"853",30,11,7,"Yes",NA,"57.54","Yes","M","WA","Larval"
"862",30,18,6,"Yes",NA,"80.77","Yes","F","WA","Larval"
"873",30,12,5,"Yes",NA,"67.87","Yes","F","WA","Larval"
"893",30,13,5,"Yes",NA,"100.99","Yes","F","WA","Larval"
"903",30,12,7,"Yes",NA,"79.29","Yes","F","WA","Larval"
"923",30,13,7,"Yes",NA,"79.66","Yes","M","WA","Larval"
"933",30,14,6,"Yes",NA,"80.97","Yes","F","WA","Larval"
"943",30,13,6,"Yes",NA,"69.61","Yes","F","WA","Larval"
"953",30,12,5,"Yes",NA,"75.07","Yes","F","WA","Larval"
"963",30,13,7,"Yes",NA,"66.4","Yes","F","WA","Larval"
"982",30,13,7,"Yes",NA,"86.56","Yes","F","WA","Larval"
"994",30,12,5,"Yes",NA,"60.04","Yes","M","WA","Larval"
"1004",30,12,6,"Yes",NA,"86.29","Yes","F","WA","Larval"
"1015",30,11,7,"Yes",NA,"42.02","Yes","M","WA","Larval"
"1043",30,12,7,"Yes",NA,"86.44","Yes","M","WA","Larval"
"1052",30,15,6,"Yes",NA,"86.22","Yes","F","WA","Larval"
"1063",30,11,7,"Yes",NA,"49.71","Yes","M","WA","Larval"
"1082",30,13,5,"Yes",NA,"71.32","Yes","F","WA","Larval"
"1093",30,11,6,"Yes",NA,"99.61","Yes","F","WA","Larval"
"1172",34,14,8,"Yes",NA,"79.41","Yes","M","WA","Larval"
"1203",34,13,8,"Yes",NA,"73.79","Yes","M","WA","Larval"
"1243",34,14,8,"Yes",NA,"116.14","Yes","F","WA","Larval"
"1263",34,14,8,"Yes",NA,"95.73","Yes","M","WA","Larval"
"1315",34,12,9,"Yes",NA,"61.37","Yes","M","WA","Larval"
