CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
19,30,,10.00,51.45,,12.00,161.84,,,Yes,14.00,140.92,Yes,8,42.29,M,No,WA1,WA,2,,11/17/2022,11/27/22,11/29/22,12/1/2022,12/9/2022,
20,34,,,,,,,7.00,,,,,,,,,,WA1,WA,2,,11/17/2022,,,,,11/24/22
21,16,,33.00,84.48,,36.00,169.44,46.00,,No,46.00,181.65,No,,,,,WA1,WA,3,181.65,11/17/2022,12/20/22,12/23/22,1/2/2023,,1/2/2023
22,21,,,,,,,5.00,,,,,,,,,,WA1,WA,3,,11/17/2022,,,,,11/22/22
23,26,,,,,,,3.00,,,,,,,,,,WA1,WA,4,,11/17/2022,,,,,11/20/22
24,30,,,,,,,3.00,,,,,,,,,,WA1,WA,4,,11/17/2022,,,,,11/20/22
25,34,,,,,,,2.00,,,,,,,,,,WA1,WA,4,,11/17/2022,,,,,11/19/22
26,16,,26.00,85.65,,28.00,159.96,34.00,,No,34.00,173.24,No,,,,,WA1,WA,4,173.24,11/17/2022,12/13/22,12/15/22,12/21/2022,,12/21/2022
27,21,,12.00,42.38,,15.00,159.2,21.00,,No,21.00,130.1,No,,,,,WA1,WA,4,130.1,11/17/2022,11/29/22,12/2/22,12/8/2022,,12/8/2022
28,26,,9.00,32.73,,12.00,180.15,,,Yes,13.00,162.3,Yes,8,56.42,M,Yes,WA1,WA,5,,11/17/2022,11/26/22,11/29/22,11/30/2022,12/8/2022,
29,30,,6.00,35.36,,8.00,119.33,,,Yes,10.00,155.12,Yes,5,66.96,F,Yes,WA1,WA,5,,11/17/2022,11/23/22,11/25/22,11/27/2022,12/2/2022,
30,34,,11.00,81.47,,12.00,115.63,15.00,,No,15.00,105.59,No,,,,,WA1,WA,5,105.59,11/17/2022,11/28/22,11/29/22,12/2/2022,,12/2/2022
31,16,,28.00,158.09,,30.00,222.34,35.00,,No,35.00,201.87,No,,,,,WA1,WA,5,201.87,11/17/2022,12/15/22,12/17/22,12/22/2022,,12/22/2022
32,21,,17.00,151,,19.00,243.89,22.00,,No,22.00,210.11,No,,,,,WA1,WA,5,210.11,11/17/2022,12/4/22,12/6/22,12/9/2022,,12/9/2022
33,26,,10.00,67.57,,12.00,176.14,,,Yes,13.00,166.93,Yes,8,65.4,F,Yes,WA1,WA,6,,11/17/2022,11/27/22,11/29/22,11/30/2022,12/8/2022,
34,30,,,,,,,2.00,,,,,,,,,,WA1,WA,6,,11/17/2022,,,,,11/19/22
35,34,,,,,,,3.00,,,,,,,,,,WA1,WA,6,,11/17/2022,,,,,11/20/22
36,16,,28.00,145.67,,30.00,207.17,46.00,,Yes,34.00,183.8,No,,,,,WA1,WA,6,,11/17/2022,12/15/22,12/17/22,12/21/2022,,1/2/23
37,21,,,,,,,6.00,,,,,,,,,,WA1,WA,6,,11/17/2022,,,,,11/23/22
38,26,,10.00,36.26,,13.00,200.23,,,Yes,14.00,187.25,Yes,12,57.36,M,No,WA1,WA,6,,11/17/2022,11/27/22,11/30/22,12/1/2022,12/13/2022,
39,30,,9.00,36.41,,,,11.00,,,,,,,,,,WA1,WA,7,,11/17/2022,11/26/22,,,,11/28/22
40,34,,,,,,,,,,,,,,,,,WA1,WA,7,,11/17/2022,,,,,11/21/22
41,16,,28.00,59.99,,30.00,107.65,38.00,,No,38.00,166.22,No,,,,,WA1,WA,7,166.22,11/17/2022,12/15/22,12/17/22,12/25/2022,,12/25/2022
42,21,,17.00,90.38,,19.00,186.73,,,Yes,23.00,165.4,Yes,10,118.01,F,Yes,WA1,WA,7,,11/17/2022,12/4/22,12/6/22,12/10/2022,12/20/2022,
