CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
036,30,6/19/2023,6/23/2023,,6/25/2023,6.00,8.68,,6/27/2023,8.00,40.56,,7/1/2023,12.00,168.34,yes,,,,,,,7/9/2023,died as pupa
037,30,6/19/2023,6/23/2023,,6/25/2023,6.00,9.12,,6/27/2023,8.00,32.19,,7/1/2023,12.00,175.36,yes,,7/8/2023,19.00,86.43,male,yes,,
038,30,6/19/2023,6/23/2023,,6/25/2023,6.00,14.38,,6/27/2023,8.00,37.64,,7/1/2023,12.00,180.45,yes,,,,,,,7/15/2023,died as pupa
039,30,6/19/2023,6/23/2023,,6/25/2023,6.00,13.8,,6/27/2023,8.00,38.78,,7/1/2023,12.00,169.16,yes,,7/8/2023,19.00,85.39,male,yes,,
040,30,6/19/2023,6/23/2023,,6/25/2023,6.00,14.35,,6/27/2023,8.00,40.1,,7/1/2023,12.00,181.14,yes,,7/8/2023,19.00,116.46,female,yes,,
041,30,6/19/2023,6/23/2023,,6/25/2023,6.00,9.59,,6/28/2023,9.00,70.8,,7/3/2023,14.00,161.37,no,,,,,,,7/3/2023,INT
042,30,6/20/2023,6/23/2023,,6/25/2023,5.00,10.04,,6/27/2023,7.00,29.76,,7/1/2023,11.00,139.81,yes,,7/7/2023,17.00,66.57,female,yes,,
043,30,6/20/2023,6/23/2023,,6/25/2023,5.00,5.39,,,,,,,,,,,,,,,,6/27/2023,
044,30,6/20/2023,6/23/2023,,6/25/2023,5.00,21.9,,6/26/2023,6.00,47.28,,6/30/2023,10.00,185.54,yes,,,,,,,7/11/2023,died as pupa
045,30,6/20/2023,6/23/2023,,6/25/2023,5.00,10.9,,6/27/2023,7.00,44.82,,7/1/2023,11.00,168.65,yes,,7/8/2023,18.00,68.43,male,no,,problems eclosing
046,30,6/20/2023,6/23/2023,,6/25/2023,5.00,9.76,,6/27/2023,7.00,36.55,,6/30/2023,10.00,160.92,yes,,7/6/2023,16.00,118.9,male,yes,,
047,30,6/20/2023,6/23/2023,,6/25/2023,5.00,15.01,,6/27/2023,7.00,40.62,,7/1/2023,11.00,181.28,no,,,,,,,7/1/2023,INT
048,30,6/20/2023,6/23/2023,,6/24/2023,4.00,14.15,,6/27/2023,7.00,37.69,,7/1/2023,11.00,184.34,yes,,,,,,,7/11/2023,died as pupa
049,30,6/20/2023,6/23/2023,,6/24/2023,4.00,8.03,,6/26/2023,6.00,38.59,,6/30/2023,10.00,141.39,yes,,7/6/2023,16.00,102.35,female,yes,,
050,30,6/20/2023,6/23/2023,,6/26/2023,6.00,10.59,,6/28/2023,8.00,38.14,,7/2/2023,12.00,163.71,yes,,7/8/2023,18.00,102.24,male,yes,,
051,30,6/20/2023,6/23/2023,,6/25/2023,5.00,8.24,,6/27/2023,7.00,31.57,,7/1/2023,11.00,156.77,yes,,,,,,,7/11/2023,died as apupa
052,30,6/19/2023,6/22/2023,,6/23/2023,4.00,8.1,,,,,,,,,,,,,,,,,
053,21,6/19/2023,6/23/2023,,6/26/2023,7.00,6.94,,,,,,,,,,,,,,,,7/11/2023,
054,21,6/19/2023,6/23/2023,,6/26/2023,7.00,15.14,,6/30/2023,11.00,61.05,,7/8/2023,19.00,164.98,no,,,,,,,7/8/2023,INT
055,21,6/20/2023,6/23/2023,,6/26/2023,6.00,11.61,,7/1/2023,11.00,46.68,,7/9/2023,19.00,184.92,no,,,,,,,7/9/2023,INT
056,21,6/20/2023,6/23/2023,,6/28/2023,8.00,11.46,,7/3/2023,13.00,62.58,,7/11/2023,21.00,213.76,yes,,7/23/2023,33.00,"108,78",male,yes,,
057,26,6/20/2023,6/23/2023,,6/25/2023,5.00,11.11,,6/27/2023,7.00,38.27,,7/1/2023,11.00,147.66,yes,,,,,,,7/11/2023,died as pupa
058,26,6/20/2023,6/23/2023,,6/25/2023,5.00,9.47,,6/28/2023,8.00,39.72,,7/3/2023,13.00,186.96,no,,,,,,,7/3/2023,
059,26,6/20/2023,6/23/2023,,6/26/2023,6.00,14.48,,6/28/2023,8.00,30.37,,7/3/2023,13.00,151.17,yes,,7/11/2023,21.00,59.78,male,no,,deformed adult
060,26,6/20/2023,6/23/2023,,,,,,,,,,,,,,,,,,,,6/24/2023,problems molting?
061,26,6/20/2023,6/23/2023,,6/26/2023,6.00,14.98,,6/29/2023,9.00,66.86,,7/3/2023,13.00,203.43,yes,,7/11/2023,21.00,124.69,male,no,,deformed adult
062,26,6/20/2023,6/23/2023,,6/26/2023,6.00,15.22,,6/28/2023,8.00,40.25,,7/3/2023,13.00,178.55,no,,,,,,,7/3/2023,
063,26,6/20/2023,6/23/2023,,6/26/2023,6.00,10.67,,6/29/2023,9.00,39.71,,7/4/2023,14.00,197.16,yes,,7/11/2023,21.00,94.76,male,yes,,
064,26,6/20/2023,6/23/2023,,6/25/2023,5.00,7.62,,6/28/2023,8.00,48.44,,7/3/2023,13.00,154.78,yes,,,,,,,7/11/2023,died as pupa
065,26,6/20/2023,6/23/2023,,6/26/2023,6.00,13.14,,6/29/2023,9.00,46.12,,7/3/2023,13.00,161.36,yes,,,,,,,7/14/2023,died as pupa
