CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
157,30,6/22/2023,6/26/2023,,6/28/2023,6.00,17.59,,6/30/2023,8.00,44.42,,7/5/2023,13.00,154.84,yes,,7/10/2023,18.00,77.42,female,yes,,
158,16,6/19/2023,6/26/2023,,6/30/2023,11.00,12.05,,7/6/2023,17.00,38.18,,7/18/2023,29.00,182.99,no,,,,,,,,INT
159,21,6/20/2023,6/26/2023,,6/28/2023,8.00,11.17,,7/2/23,12.00,53.13,,7/9/2023,19.00,161.71,no,,,,,,,7/9/2023,INT
160,21,6/20/2023,6/26/2023,,6/29/2023,9.00,13.9,,7/2/23,12.00,41.23,,7/9/2023,19.00,193.77,yes,,7/20/2023,30.00,90.07,female,yes,,
161,21,6/20/2023,6/26/2023,,6/28/2023,8.00,11.78,,7/2/23,12.00,54.49,,7/9/2023,19.00,219.4,yes,,7/20/2023,30.00,107.52,male,yes,,
162,21,6/20/2023,6/26/2023,,7/1/2023,11.00,21.3,,7/3/2023,13.00,42.77,,7/10/2023,20.00,179.45,yes,,7/21/2023,31.00,115.78,female,no,,
163,26,6/21/2023,6/26/2023,,6/30/2023,9.00,31.01,,7/1/2023,10.00,62.22,,7/6/2023,15.00,101.33,no,,,,,,,,
164,26,6/21/2023,6/26/2023,,6/28/2023,7.00,12.42,,7/1/2023,10.00,33.91,,7/6/2023,15.00,142.91,yes,,,,,,,7/14/2023,died as pupa
165,26,6/21/2023,6/26/2023,,6/28/2023,7.00,8.55,,,,,,,,,,,,,,,,6/29/2023,
166,26,6/21/2023,6/26/2023,,6/28/2023,7.00,14.27,,6/30/2023,9.00,58.13,,7/4/2023,13.00,194.98,yes,,,,,,,7/14/2023,died as pupa
167,26,6/23/2023,6/26/2023,,6/28/2023,5.00,6.48,,7/1/2023,8.00,20.17,,7/6/2023,13.00,151.85,yes,,7/13/2023,20.00,76.13,female,yes,,
168,30,6/23/2023,6/27/2023,,6/29/2023,6.00,8.55,,7/1/2023,8.00,31.87,,7/5/2023,12.00,152.34,yes,,7/12/2023,19.00,77.84,female,yes,,
169,30,6/23/2023,6/27/2023,,6/29/2023,6.00,11.85,,7/2/2023,9.00,56.61,,7/6/2023,13.00,173.88,yes,,7/12/2023,19.00,87.25,female,yes,,
170,30,6/23/2023,6/27/2023,,6/29/2023,6.00,17.87,,,,,,,,,,,,,,,,7/2/2023,
171,30,6/23/2023,6/27/2023,,6/29/2023,6.00,16.52,,7/1/2023,8.00,62.4,,7/4/23,11.00,146.69,yes,,7/10/2023,17.00,88.64,female,no,,deformed wings
172,30,6/23/2023,6/27/2023,,6/29/2023,6.00,10.36,,7/1/2023,8.00,34.15,,7/5/2023,12.00,164.08,yes,,,,,,,7/14/2023,died as pupa
173,30,6/23/2023,6/27/2023,,6/29/2023,6.00,8.86,,7/2/2023,9.00,57.18,,7/6/2023,13.00,174.01,yes,,7/13/2023,20.00,78.09,female,no,,deformed wings
174,30,6/23/2023,6/27/2023,,6/28/2023,5.00,11.98,,7/1/2023,8.00,50.38,,7/4/23,11.00,140.39,yes,,7/10/2023,17.00,72.84,male,yes,,
175,30,6/23/2023,6/27/2023,,6/29/2023,6.00,9.27,,7/2/2023,9.00,70.93,,7/5/2023,12.00,155.58,yes,,7/11/2023,18.00,84.42,male,yes,,
176,30,6/22/2023,6/27/2023,,6/28/2023,6.00,9.2,,7/7/2023,15.00,16.83,,,,,,,,,,,,7/8/2023,
177,34,6/23/2023,6/27/2023,,,,,,,,,,,,,,,,,,,,6/28/2023,
178,34,6/23/2023,6/27/2023,,6/30/2023,7.00,11.76,,7/1/2023,8.00,14.8,,,,,,,,,,,,7/11/2023,
179,34,6/23/2023,6/27/2023,,,,,,,,,,,,,,,,,,,,6/28,
180,34,6/23/2023,6/27/2023,,6/30/2023,7.00,14.61,,7/6/2023,13.00,41.8,,,,,,,,,,,,7/16/2023,
181,34,6/23/2023,6/27/2023,,7/1/2023,8.00,7.81,,,,,,,,,,,,,,,,7/11/2023,
182,34,6/23/2023,6/27/2023,,,,,,,,,,,,,,,,,,,,6/29/2023,
183,34,6/23/2023,6/27/2023,,6/30/2023,7.00,9.03,,7/4/2023,11.00,51.55,,7/9/2023,16.00,85.53,no,,,,,,,7/9/2023,INT
184,34,6/23/2023,6/27/2023,,6/30/2023,7.00,6.96,,7/3/2023,10.00,24.2,,,,,,,,,,,,7/6/2023,
185,16,6/19/2023,6/27/2023,,7/3/2023,14.00,11.37,,,,,,,,,,,,,,,,7/13/2023,accidentally starved 24 hours
186,16,6/19/2023,6/27/2023,,7/3/2023,14.00,13.13,,7/9/2023,20.00,50.51,,7/22/2023,33.00,171.62,no,,,,,,,,accidentally starved 24 hours; INT
187,16,6/19/2023,6/27/2023,,7/4/2023,15.00,9.33,,7/11/2023,22.00,33.36,,7/23/2023,34.00,149.76,yes,,,,,,,,accidentally starved 24 hours
188,16,6/19/2023,6/27/2023,,7/2/2023,13.00,7.82,,7/9/2023,20.00,41.29,,7/20/2023,31.00,211.85,no,,,,,,,7/20/2023,"accidentally starved 24 hours, INT"
189,21,6/20/2023,6/27/2023,,6/30/2023,10.00,15.53,,7/3/2023,13.00,37.18,,7/10/2023,20.00,169.74,yes,,7/20/2023,30.00,94.48,female,yes,,
190,21,6/20/2023,6/27/2023,,6/29/2023,9.00,11.72,,7/3/2023,13.00,36.87,,7/10/2023,20.00,150.85,no,,,,,,,,INT
191,21,6/20/2023,6/27/2023,,6/30/2023,10.00,14.25,,7/3/2023,13.00,53.45,,7/10/2023,20.00,188.22,no,,,,,,,,INT
192,21,6/20/2023,6/27/2023,,7/1/2023,11.00,13.7,,,,,,,,,,,,,,,,7/6/2023,
193,21,6/21/2023,6/27/2023,,6/30/2023,9.00,8.3,,7/4/2023,13.00,41.43,,7/12/2023,21.00,220.48,yes,,7/23/2023,32.00,111.24,male,yes,,
194,21,6/21/2023,6/27/2023,,6/30/2023,9.00,10.96,,7/3/2023,12.00,48.34,,7/10/2023,19.00,205.08,yes,,7/22/2023,31.00,96.51,male,yes,,
195,21,6/20/2023,6/27/2023,,6/30/2023,10.00,12.28,,7/6/2023,16.00,59.33,,7/13/2023,23.00,171.02,yes,,,,,,,7/23/2023,died as pupa
196,21,6/19/2023,6/27/2023,,6/30/2023,11.00,8.06,,7/5/2023,16.00,31.51,,7/13/2023,24.00,175.96,yes,,7/23/2023,34.00,97.81,female,yes,,
197,21,6/19/2023,6/27/2023,,6/30/2023,11.00,15.62,,7/5/2023,16.00,39.22,,7/13/2023,24.00,180.67,yes,,7/23/2023,34.00,92.82,female,yes,,
198,21,6/19/2023,6/27/2023,,6/29/2023,10.00,10.25,,7/3/2023,14.00,46.81,,7/11/2023,22.00,190.17,yes,,7/21/2023,32.00,151.76,male,yes,,
199,21,6/19/2023,6/27/2023,,6/30/2023,11.00,11.32,,7/6/2023,17.00,71.48,,7/11/2023,22.00,174.72,yes,,7/22/2023,33.00,81.77,male,yes,,
200,21,6/21/2023,6/27/2023,,6/30/2023,9.00,11.04,,7/4/2023,13.00,49.4,,7/11/2023,20.00,201.55,no,,,,,,,7/11/2023,INT
201,21,6/21/2023,6/27/2023,,7/1/2023,10.00,12.02,,7/5/2023,14.00,73.54,,7/11/2023,20.00,228.67,yes,,7/22/2023,31.00,98.03,male,yes,,
202,26,6/19/2023,6/27/2023,,6/29/2023,10.00,10.33,,7/1/2023,12.00,29.23,,7/7/2023,18.00,155.11,no,,,,,,,,INT
203,26,6/19/2023,6/25/2023,,6/27/2023,8.00,10.11,,6/29/2023,10.00,30.84,,7/3/2023,14.00,159.36,yes,,,,,,,7/14/2023,died as pupa
204,26,6/19/2023,6/27/2023,,6/29/2023,10.00,11.23,,7/2/23,13.00,32.05,,7/10/2023,21.00,159.14,no,,,,,,,7/10/2023,INT
205,26,6/19/2023,6/25/2023,,6/27/2023,8.00,5.23,,7/1/2023,12.00,27.61,,7/6/2023,17.00,144.71,yes,,7/14/2023,25.00,70.5,female,yes,,
206,26,6/21/2023,6/27/2023,,6/29/2023,8.00,6.24,,7/3/2023,12.00,43.14,,7/9/2023,18.00,161.11,no,,,,,,,7/9/2023,INT
207,26,6/22/2023,6/27/2023,,6/29/2023,7.00,12.39,,7/1/2023,9.00,31.76,,7/7/2023,15.00,128.83,no,,,,,,,7/7/2023,INT
208,21,6/21/2023,6/28/2023,,7/1/2023,10.00,11.74,,7/5/2023,14.00,48.11,,7/11/2023,20.00,172.09,yes,,,,,,,7/24/2023,died as pupa
209,21,6/21/2023,6/28/2023,,7/2/2023,11.00,18.49,,7/6/2023,15.00,38.56,,7/14/2023,23.00,159.95,no,,,,,,,7/15/2023,INT
210,21,6/19/2023,6/28/2023,,7/1/2023,12.00,14.08,,7/6/2023,17.00,36.74,,7/14/2023,25.00,174.86,no,,,,,,,7/15/2023,INT
211,21,6/19/2023,6/28/2023,,7/1/2023,12.00,8.09,,7/6/2023,17.00,47.84,,7/14/2023,25.00,193.45,no,,,,,,,7/15/2023,INT
212,21,6/20/2023,6/28/2023,,7/3/2023,13.00,7.34,,7/10/2023,20.00,32.82,,7/20/2023,30.00,175.66,no,,,,,,,7/20/2023,INT
213,21,6/21/2023,6/28/2023,,,,,,,,,,,,,,,,,,,,7/3/2023,
214,21,6/21/2023,6/28/2023,,7/1/2023,10.00,12.39,,7/5/2023,14.00,41.58,,7/12/2023,21.00,238.83,yes,,7/23/2023,32.00,119.96,male,yes,,
215,21,6/23/2023,6/28/2023,,7/1/2023,8.00,9.36,,7/5/2023,12.00,32.37,,7/13/2023,20.00,183.41,yes,,7/23/2023,30.00,104.31,female,yes,,
216,26,6/22/2023,6/28/2023,,7/1/2023,9.00,11.38,,7/5/2023,13.00,51.44,,7/10/2023,18.00,143.02,yes,,7/18/2023,26.00,81.22,male,yes,,
217,26,6/22/2023,6/28/2023,,7/1/2023,9.00,11.55,,7/6/2023,14.00,30.22,,7/12/2023,20.00,165.38,yes,,7/20/2023,28.00,78.27,female,yes,,
218,26,6/23/2023,6/28/2023,,7/1/2023,8.00,13.89,,7/4/2023,11.00,33.8,,7/9/2023,16.00,167.14,yes,,,,,,,7/20/2023,died as pupa
219,26,6/23/2023,6/28/2023,,,,,,,,,,,,,,,,,,,,7/3/2023,
220,26,6/23/2023,6/28/2023,,6/30/2023,7.00,11.32,,7/3/2023,10.00,30.29,,,,,,,,,,,,7/6/2023,
221,16,6/20/2023,6/28/2023,,7/3/2023,13.00,8.6,,7/10/2023,20.00,32.27,,7/22/2023,32.00,193.22,no,,,,,,,,INT
222,16,6/20/2023,6/28/2023,,7/2/2023,12.00,9.14,,7/9/2023,19.00,48.74,,7/22/2023,32.00,203.62,no,,,,,,,,
223,16,6/20/2023,6/28/2023,,7/2/2023,12.00,9.66,,7/8/2023,18.00,40.42,,7/18/2023,28.00,214.94,yes,,,,,,,,
224,16,6/20/2023,6/28/2023,,7/5/2023,15.00,13.02,,7/11/2023,21.00,52.4,,7/22/2023,32.00,202.45,yes,,8/7/2023,48.00,161.25,,,,
225,16,6/20/2023,6/28/2023,,7/3/2023,13.00,7.91,,7/15/2023,25.00,127.88,,7/22/2023,32.00,210.74,no,,,,,,,,
226,16,6/20/2023,6/28/2023,,7/3/2023,13.00,11.23,,7/10/2023,20.00,58.4,,7/19/2023,29.00,204.83,yes,,8/7/2023,48.00,121.76,male,yes,,
227,16,6/19/2023,6/28/2023,,7/3/2023,14.00,9.56,,7/10/2023,21.00,52.86,,7/19/2023,30.00,183.91,no,,,,,,,7/19/2023,INT
228,30,6/23/2023,6/28/2023,,6/30/2023,7.00,8.22,,7/3/2023,10.00,42.76,,7/7/2023,14.00,182.37,yes,,7/13/2023,20.00,103.2,male,yes,,
229,30,6/23/2023,6/28/2023,,6/30/2023,7.00,16.41,,7/3/2023,10.00,48.36,,7/7/2023,14.00,177.74,yes,,7/13/2023,20.00,95.61,female,yes,,
230,34,6/23/2023,6/28/2023,,6/30/2023,7.00,13.49,,7/4/2023,11.00,57.71,,7/11/2023,18.00,94.99,no,,,,,,,7/11/2023,INT
231,34,6/23/2023,6/28/2023,,7/1/2023,8.00,12.29,,,,,,,,,,,,,,,,7/14/2023,
232,34,6/27/2023,6/29/2023,,7/1/2023,4.00,8.72,,7/4/2023,7.00,32.92,,7/9/2023,12.00,90.25,yes,,,,,,,7/15/2023,died trying to eclose
233,34,6/27/2023,6/29/2023,,7/1/2023,4.00,10.18,,,,,,,,,,,,,,,,7/14/2023,
234,34,6/27/2023,6/29/2023,,7/1/2023,4.00,5.06,,7/5/2023,8.00,39.62,,,,,,,,,,,,7/13/2023,diseased
235,16,6/20/2023,6/29/2023,,7/5/2023,15.00,14.23,,7/11/2023,21.00,50.32,,7/21/23,31.00,223.41,yes,,,,,,,,
236,16,6/20/2023,6/29/2023,,7/4/2023,14.00,16.49,,7/10/2023,20.00,45.95,,7/21/23,31.00,166.84,yes,,8/7/2023,48.00,86.28,female,yes,,
237,16,6/20/2023,6/29/2023,,7/5/2023,15.00,9.64,,7/11/2023,21.00,39.71,,7/20/2023,30.00,182.64,yes,,,,,,,8/4/2023,died as pupa
238,16,6/19/2023,6/29/2023,,7/4/2023,15.00,9.98,,7/11/2023,22.00,59.5,,7/22/2023,33.00,262.23,no,,,,,,,,
239,30,6/23/2023,6/29/2023,,7/1/2023,8.00,7.04,,7/4/23,11.00,32.83,,7/9/2023,16.00,191.08,yes,,,,,,,7/14/2023,died trying to eclose
240,30,6/23/2023,6/29/2023,,6/30/2023,7.00,10.66,,7/2/2023,9.00,28.31,,7/6/2023,13.00,149.95,yes,,7/12/2023,19.00,77.51,male,yes,,
241,30,6/25/2023,6/29/2023,,7/1/2023,6.00,7.44,,7/4/23,9.00,38.41,,7/8/2023,13.00,161.91,yes,,7/14/2023,19.00,95.36,female,yes,,
242,30,6/27/2023,6/29/2023,,7/1/2023,4.00,22.89,,7/2/2023,5.00,34.95,,7/6/2023,9.00,157.85,yes,,,,,,,7/14/2023,died as pupa
243,21,6/22/2023,6/29/2023,,7/2/2023,10.00,12.36,,7/7/2023,15.00,33.65,,7/15/2023,23.00,184.05,yes,,7/26/2023,34.00,76.44,female,yes,,
244,21,6/22/2023,6/29/2023,,7/1/2023,9.00,10.19,,7/5/2023,13.00,43.12,,7/12/2023,20.00,194.51,yes,,7/23/2023,31.00,79.69,male,yes,,
245,21,6/22/2023,6/29/2023,,7/1/2023,9.00,12.26,,7/5/2023,13.00,48.49,,7/11/2023,19.00,185.76,no,,,,,,,7/26/2023,"deformed pupa, died as pupa"
246,21,6/22/2023,6/29/2023,,7/2/2023,10.00,9.94,,7/8/2023,16.00,35.08,,7/14/2023,22.00,190.34,yes,,7/26/2023,34.00,93.98,female,yes,,
247,21,6/22/2023,6/29/2023,,,,,,,,,,,,,,,,,,,,7/1/2023,
248,21,6/22/2023,6/29/2023,,7/2/2023,10.00,8.69,,7/8/2023,16.00,34.73,,7/16/2023,24.00,128.7,yes,,7/27/2023,35.00,57.52,female,yes,,
249,16,6/19/2023,6/30/2023,,7/6/2023,17.00,9.08,,7/13/2023,24.00,44.37,,7/24/2023,35.00,185.33,yes,,7/25/2023,36.00,162.63,female,yes,,Had incorrect data in fourth column? 7/2/23  12.16; incorrect data in pupal colunms 7/14/2023	7/16/2023	212.94	yes
250,16,6/20/2023,6/30/2023,,7/5/2023,15.00,7.83,,7/14/2023,24.00,25.53,,7/28/2023,38.00,166.25,yes,,,,,,,,
251,16,6/20/2023,6/30/2023,,7/5/2023,15.00,11.14,,7/12/2023,22.00,48.41,,7/24/2023,34.00,177.81,NO,,,,,,,7/24/2023,INT
252,16,6/19/2023,6/30/2023,,7/7/2023,18.00,10.19,,7/15/2023,26.00,54.55,,7/24/2023,35.00,202.86,no,,,,,,,7/24/2023,INT
253,16,6/19/2023,6/30/2023,,7/5/2023,16.00,12.08,,7/11/2023,22.00,47.53,,7/22/2023,33.00,170.9,yes,,,,,,,,
254,16,6/23/2023,6/30/2023,,7/5/2023,12.00,13.3,,7/11/2023,18.00,45.18,,7/22/2023,29.00,216.7,yes,,,,,,,,
255,16,6/19/2023,6/30/2023,,7/5/2023,16.00,7.89,,7/11/2023,22.00,39.27,,7/22/2023,33.00,196.36,no,,,,,,,,
256,16,6/19/2023,6/30/2023,,7/5/2023,16.00,12.54,,7/11/2023,22.00,50.43,,7/21/23,32.00,196.48,yes,,,,,,,8/5/2023,died as pupa
257,16,6/19/2023,6/30/2023,,7/4/2023,15.00,10.25,,7/10/2023,21.00,50.14,,7/20/2023,31.00,202.04,yes,,,,,,,8/7/2023,died as pupa
258,30,6/27/2023,6/30/2023,,7/2/2023,5.00,10.89,,7/4/23,7.00,33.86,,7/8/2023,11.00,170.63,yes,,7/14/2023,17.00,99.71,female,no,,deformed wings
259,30,6/27/2023,6/30/2023,,7/2/2023,5.00,11.44,,7/4/23,7.00,34.27,,7/7/2023,10.00,129.63,yes,,,,,,,7/14/2023,died trying to eclose
260,30,6/27/2023,6/30/2023,,7/2/2023,5.00,17.09,,7/5/2023,8.00,95.41,,7/9/2023,12.00,188.72,yes,,7/16/2023,19.00,75.54,male,yes,,
261,30,6/27/2023,6/30/2023,,7/2/2023,5.00,,,7/3/2023,6.00,34.99,,7/7/2023,10.00,141.55,yes,,7/12/2023,15.00,71.21,female,yes,,
262,30,6/27/2023,6/30/2023,,7/2/2023,5.00,14.61,,7/4/23,7.00,44.35,,7/7/2023,10.00,168.64,yes,,,,,,,7/14/2023,died as pupa
263,30,6/27/2023,6/30/2023,,7/2/2023,5.00,15.06,,7/4/23,7.00,44.03,,7/7/2023,10.00,159.68,yes,,7/13/2023,16.00,150.05,female,no,7/13/2023,died trying to eclose
264,21,6/19/2023,6/30/2023,,7/4/2023,15.00,11.85,,7/9/2023,20.00,47.87,,7/15/2023,26.00,174.68,yes,,7/26/2023,37.00,80.77,female,yes,,
265,21,6/21/2023,6/30/2023,,7/3/2023,12.00,14.35,,7/7/2023,16.00,46.76,,7/15/2023,24.00,193.52,yes,,7/26/2023,35.00,82.87,male,yes,,
266,21,6/23/2023,6/30/2023,,7/5/2023,12.00,16.86,,7/11/2023,18.00,97.47,,7/16/2023,23.00,164.72,yes,,7/27/2023,34.00,107.26,female,yes,,
267,21,6/27/2023,6/30/2023,,7/3/2023,6.00,6.76,,7/8/2023,11.00,29.62,,7/16/2023,19.00,137.43,no,,,,,,,7/16/2023,INT
268,21,6/27/2023,6/30/2023,,7/3/2023,6.00,14.66,,7/8/2023,11.00,45.28,,7/15/2023,18.00,217.29,yes,,,,,,,8/1/2023,died as pupa
269,21,6/27/2023,6/30/2023,,7/3/2023,6.00,9.07,,7/7/2023,10.00,42.69,,7/15/2023,18.00,197.79,yes,,7/26/2023,29.00,135.13,male,yes,,
270,30,6/27/2023,7/1/2023,,7/3/2023,6.00,13.12,,7/6/2023,9.00,48.73,,7/10/2023,13.00,144.99,yes,,7/17/2023,20.00,77.36,male,no,,deformed wings
271,30,6/27/2023,6/30/2023,,7/2/2023,5.00,20.24,,7/4/23,7.00,50.96,,7/7/2023,10.00,150.68,yes,,7/13/2023,16.00,86.97,female,no,,deformed wings
272,30,6/27/2023,6/30/2023,,7/2/2023,5.00,13.83,,7/4/23,7.00,47.93,,7/7/2023,10.00,137.94,yes,,7/13/2023,16.00,61.55,male,yes,,
273,30,6/27/2023,6/30/2023,,7/2/2023,5.00,20.03,,7/4/23,7.00,49.5,,7/7/2023,10.00,153.71,yes,,,,,,,7/15/2023,died as pupa
274,30,6/27/2023,6/30/2023,,7/2/2023,5.00,17.9,,7/4/23,7.00,64.81,,7/7/2023,10.00,144.52,yes,,7/13/2023,16.00,97.22,female,no,,deformed wings
275,30,6/27/2023,6/30/2023,,7/2/2023,5.00,23.65,,7/3/2023,6.00,34.87,,7/7/2023,10.00,167.62,yes,,7/13/2023,16.00,98.23,male,no,,deformed wings
276,30,6/27/2023,6/30/2023,,7/2/2023,5.00,9.82,,7/4/23,7.00,34.62,,7/8/2023,11.00,159.96,yes,,,,,,,7/15/2023,died trying to eclose
277,30,6/27/2023,6/30/2023,,7/2/2023,5.00,9.35,,7/4/23,7.00,30.41,,7/8/2023,11.00,153.65,yes,,7/14/2023,17.00,101.94,female,no,,deformed wings
278,30,6/27/2023,7/1/2023,,7/3/2023,6.00,15.12,,7/5/2023,8.00,39.21,,7/9/2023,12.00,154.64,yes,,7/16/2023,19.00,65.14,female,,,
279,30,6/27/2023,7/1/2023,,7/3/2023,6.00,25.44,,7/5/2023,8.00,78.41,,7/8/2023,11.00,156.42,yes,,7/14/2023,17.00,90.34,female,yes,,
280,30,6/27/2023,7/1/2023,,7/4/2023,7.00,9.28,,7/7/2023,10.00,100.53,,7/10/2023,13.00,143.24,yes,,7/17/2023,20.00,75.13,female,yes,,
281,30,6/27/2023,7/1/2023,,7/2/2023,5.00,9.36,,7/5/2023,8.00,28.59,,7/9/2023,12.00,136.05,yes,,7/15/2023,18.00,76.84,male,yes,,
282,34,6/27/2023,7/1/2023,,7/4/2023,7.00,6.03,,,,,,,,,,,,,,,,7/14/2023,
283,34,6/27/2023,7/1/2023,,7/3/2023,6.00,6.81,,,,,,,,,,,,,,,,7/14/2023,
284,34,6/27/2023,7/1/2023,,7/3/2023,6.00,11.01,,,,,,,,,,,,,,,,7/10/2023,INT
285,34,6/27/2023,7/1/2023,,7/2/2023,5.00,10,,7/5/2023,8.00,42.55,,7/9/2023,12.00,127.21,no,,,,,,,7/9/2023,INT
286,34,6/28/2023,7/1/2023,,7/3/2023,5.00,7.41,,7/9/2023,11.00,29.85,,,,,,,,,,,,7/17/2023,turned black
287,16,6/20/2023,7/1/2023,,7/7/2023,17.00,19.11,,7/11/2023,21.00,37.05,,7/21/23,31.00,174.38,yes,,8/6/2023,47.00,117.84,female,yes,,
288,16,6/20/2023,7/1/2023,,7/8/2023,18.00,15.66,,,,,,,,,,,,,,,,7/11/2023,
289,16,6/21/2023,7/1/2023,,,,,,,,,,,,,,,,,,,,7/4/2023,
290,16,6/21/2023,7/1/2023,,,,,,,,,,,,,,,,,,,,7/5/2023,
291,16,6/21/2023,7/1/2023,,7/9/2023,18.00,12.23,,7/14/2023,23.00,43.23,,7/23/2023,32.00,172.8,no,,,,,,,7/23/2023,INT
292,16,6/20/2023,7/1/2023,,,,,,,,,,,,,,,,,,,,7/4/2023,
293,16,6/23/2023,7/1/2023,,7/5/2023,12.00,8.58,,7/13/2023,20.00,55.07,,7/23/2023,30.00,210.52,yes,,,,,,,,
294,16,6/23/2023,7/1/2023,,7/8/2023,15.00,13.62,,7/14/2023,21.00,58.33,,7/24/2023,31.00,233.12,no,,,,,,,7/24/2023,INT
295,16,6/21/2023,7/2/2023,,7/5/2023,14.00,11.23,,7/11/2023,20.00,53.81,,7/21/23,30.00,218.73,yes,,,,,,,,
296,16,6/21/2023,7/2/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,
297,16,6/19/2023,7/2/2023,,7/9/2023,20.00,10.2,,7/18/2023,29.00,34.88,,7/30/2023,41.00,197.47,yes,,,,,,,,
298,16,6/19/2023,7/2/2023,,7/8/2023,19.00,10.76,,7/16/2023,27.00,36.87,,7/27/2023,38.00,162.51,no,,,,,,,,developed external wings as pupa
299,16,6/19/2023,7/2/2023,,7/8/2023,19.00,7.94,,7/14/2023,25.00,29.44,,7/25/2023,36.00,166.43,no,,,,,,,7/25/2023,INT
300,16,6/19/2023,7/2/2023,,7/7/2023,18.00,10.48,,7/13/2023,24.00,61.13,,7/22/2023,33.00,180.9,yes,,8/7/2023,49.00,113.3,female,yes,,
301,16,6/19/2023,7/2/2023,,7/8/2023,19.00,13.37,,7/15/2023,26.00,47.73,,7/27/2023,38.00,186.87,no,,,,,,,7/27/2023,INT
302,16,6/19/2023,7/2/2023,,7/8/2023,19.00,12.01,,7/15/2023,26.00,44.32,,7/27/2023,38.00,214.12,yes,,,,,,,,
303,16,6/20/2023,7/2/2023,,7/8/2023,18.00,9.88,,7/16/2023,26.00,40.43,,7/26/2023,36.00,181.59,yes,,,,,,,,
304,34,6/28/2023,7/2/2023,,7/5/2023,7.00,8.87,,,,,,,,,,,,,,,,7/18/2023,shriveled
305,34,6/28/2023,7/2/2023,,7/4/2023,6.00,11.38,,,,,,,,,,,,,,,,7/18/2023,shriveled
306,34,6/28/2023,7/2/2023,,7/4/2023,6.00,8.62,,,,,,,,,,,,,,,,7/16/2023,
307,34,6/28/2023,7/2/2023,,7/5/2023,7.00,10.2,,,,,,,,,,,,,,,,7/15/2023,shriveled
308,34,6/28/2023,7/2/2023,,7/5/2023,7.00,9.06,,,,,,,,,,,,,,,,7/18/2023,shriveled
309,30,6/28/2023,7/2/2023,,7/4/2023,6.00,8.67,,7/8/2023,10.00,31.86,,7/13/2023,15.00,120.05,yes,,7/20/2023,22.00,60.05,female,yes,,
310,30,6/28/2023,7/2/2023,,7/5/2023,7.00,23.81,,7/7/2023,9.00,47.94,,7/11/2023,13.00,128.66,no,,,,,,,7/11/2023,INT
311,30,6/28/2023,7/2/2023,,,,,,,,,,,,,,,,,,,,7/5/2023,
312,30,6/28/2023,7/2/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,
313,30,6/27/2023,7/2/2023,,7/5/2023,8.00,16.84,,7/7/2023,10.00,41.54,,7/11/2023,14.00,115.19,yes,,7/18/2023,21.00,59.77,female,yes,,
314,16,6/21/2023,7/3/2023,,7/11/2023,20.00,13.99,,7/16/2023,25.00,43.65,,7/27/2023,36.00,182.52,no,,,,,,,7/27/2023,INT
315,16,6/21/2023,7/3/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,
316,16,6/19/2023,7/3/2023,,7/10/2023,21.00,10.89,,7/17/2023,28.00,40.36,,8/2/2023,44.00,143.02,no,,,,,,,8/2/2023,INT
317,16,6/27/2023,7/3/2023,,7/10/2023,13.00,5.9,,,,,,,,,,,,,,,,7/14/2023,
318,16,6/27/2023,7/3/2023,,7/8/2023,11.00,11.92,,7/16/2023,19.00,46.35,,7/29/2023,32.00,240.02,no,,,,,,,7/29/2023,INT
319,16,6/27/2023,7/3/2023,,7/7/2023,10.00,9.14,,7/15/2023,18.00,36.84,,7/29/2023,32.00,166.39,no,,,,,,,7/29/2023,INT
320,30,6/27/2023,7/3/2023,,7/5/2023,8.00,10.82,,7/8/2023,11.00,36.17,,7/12/2023,15.00,161.02,yes,,,,,,,7/19/2023,died trying to eclose
321,30,6/27/2023,7/3/2023,,7/4/2023,7.00,13.47,,7/7/2023,10.00,22.43,,,,,,,,,,,,7/9/2023,
322,30,6/28/2023,7/3/2023,,7/5/2023,7.00,9.24,,7/8/2023,10.00,51.34,,7/14/2023,16.00,153.22,yes,,7/21/2023,23.00,103.11,male,no,,
323,21,6/27/2023,7/3/2023,,7/5/2023,8.00,13.9,,7/10/2023,13.00,70.59,,7/16/2023,19.00,222.52,yes,,7/27/2023,30.00,105.72,male,yes,,
324,21,6/27/2023,7/3/2023,,7/5/2023,8.00,14.74,,7/9/2023,12.00,52.31,,7/15/2023,18.00,169.59,yes,,7/26/2023,29.00,99.85,female,yes,,
325,21,6/27/2023,7/3/2023,,7/6/2023,9.00,9.85,,7/10/2023,13.00,46.97,,7/17/2023,20.00,188.7,yes,,,,,,,7/24/2023,weird pink disease as pupa
326,21,6/27/2023,7/3/2023,,7/5/2023,8.00,11.69,,7/14/2023,17.00,23.29,,7/24/2023,27.00,135.72,yes,,,,,,,,
