CID,Treatment,Date.dead,km_notes,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
102,21,,,9,11/18/2022,11/23/22,11/29/22,12/2/22,174.21,12/4/22,203.22,12/6/2022,12/8/22,197.13,,,12/15/2022,M,83.39,,,18,9,
3,26,,,1,11/16/2022,11/19/22,11/23/22,11/26/22,46.61,11/28/22,171.07,11/30/2022,12/2/22,171.69,,,12/8/2022,M,64.96,,,14,8,Placed in temp chamber before I button data collected 
8,26,,,5,11/16/2022,11/19/22,11/23/22,11/26/22,57.88,11/28/22,164.74,11/29/2022,12/1/22,152.66,,,12/6/2022,F,68.06,,,13,7,Placed in temp chamber before I button data collected 
13,26,,,10,11/16/2022,11/20/22,11/24/22,11/27/22,60.15,11/29/22,144.8,11/30/2022,12/2/22,135.52,,,12/8/2022,F,55.84,,,14,8,Placed in temp chamber before I button data collected 
18,26,,,2,11/17/2022,11/21/22,11/23/22,11/26/22,91.64,11/28/22,208.22,11/29/2022,12/1/22,191.73,,,12/6/2022,M,90.17,,,12,7,
23,26,11/20/22,,4,11/17/2022,,,,,,,,,,,,,,,11/20/22,1,,,
28,26,,,5,11/17/2022,11/20/22,11/24/22,11/26/22,32.73,11/29/22,180.15,11/30/2022,12/2/22,162.3,,,12/8/2022,M,56.42,,,13,8,
33,26,,,6,11/17/2022,11/20/22,11/25/22,11/27/22,67.57,11/29/22,176.14,11/30/2022,12/2/22,166.93,,,12/8/2022,F,65.4,,,13,8,
38,26,12/13/22,,6,11/17/2022,11/20/22,11/24/22,11/27/22,36.26,11/30/22,200.23,12/1/2022,12/3/22,187.25,,,12/13/2022,M,57.36,12/13/22,A,14,12,died after eclosing
48,26,11/19/22,,8,11/17/2022,,,,,,,,,,,,,,,11/19/22,1,,,
53,26,,,9,11/17/2022,11/28/22,12/1/22,12/4/22,164.75,12/5/22,180.3,12/6/2022,12/8/22,168.92,,,12/13/2022,M,104.55,,,19,7,
58,26,11/20/22,,9,11/17/2022,,,,,,,,,,,,,,,11/20/22,1,,,
63,26,11/19/22,,10,11/17/2022,,,,,,,,,,,,,,,11/19/22,1,,,
68,26,,,10,11/17/2022,11/23/22,11/26/22,11/29/22,120.03,12/1/22,194.9,12/2/2022,12/4/22,184.97,,,12/9/2022,M,,,,15,7,
