CID,Treatment,Date.dead,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
1052,21,,24,12/1/2022,12/9/22,12/11/22,12/17/22,91.05,12/18/22,175.07,12/21/22,12/23/22,192.12,,,1/2/2023,U,246.92,1/2/23,A,20,12,died trying to eclose
1062,21,,38,12/1/2022,12/9/22,12/11/22,12/15/22,69.97,12/17/22,153.22,12/19/22,12/21/22,168.6,,,12/29/2022,M,90.6,,,18,10,
1067,21,,46,12/1/2022,12/10/22,12/13/22,12/17/22,129.38,12/19/22,208.15,12/20/22,12/22/22,203.49,,,12/30/2022,M,104.06,,,19,10,
1072,21,,50,12/2/2022,12/8/22,12/10/22,12/14,75.74,12/17/22,190.07,12/18/22,12/20/22,178.92,,,12/28/2022,M,116.45,,,16,10,
1077,21,12/17/22,18,12/2/2022,12/9/22,12/11/22,,,,,,,,,,,,,12/17/22,3,,,
1082,21,12/28/22,18,12/2/2022,12/9/22,12/11/22,12/15,101.02,12/17/22,159.08,12/18/22,12/20/22,148.2,,,,,,12/28/22,P,16,,died as pupa
1087,21,12/29/22,52,12/2/2022,12/9/22,12/11/22,12/17/22,151.21,12/19/22,198.22,12/20/22,12/22/22,153.97,,,,,,12/29/22,P,18,,died as pupa
1092,21,12/4/22,42,12/2/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1097,21,,43,12/2/2022,12/10/22,12/25/22,,,,,,,,,,,,,1/2/23,3,,,
1102,21,,36,12/2/2022,12/11/22,12/14/22,12/19/22,113.32,12/22/22,164.31,12/23/22,12/25/22,149.09,,,,,,1/2/23,P,21,,died as pupa
1107,21,12/6/22,16,12/2/2022,,,,,,,,,,,,,,,12/6/22,1,,,
1112,21,,27,12/2/2022,12/9/22,12/11/22,12/17/22,105.51,12/18/22,168.2,12/20/22,12/22/22,156.04,,,1/2/2023,M,109.12,,,18,13,
1117,21,,28,12/2/2022,12/10/22,12/15/22,12/17/22,140.59,12/19/22,200.47,12/20/22,12/22/22,195.13,,,12/30/2022,M,84.76,,,18,10,
1122,21,,34,12/2/2022,12/9/22,12/11/22,12/15/22,54.05,12/17/22,148.82,12/21/22,12/23/22,,,,,U,177.49,1/2/23,A,19,,died trying to eclose/ red eyes
1132,21,,31,12/2/2022,12/11/22,12/17/22,12/19/22,121.01,12/22/22,186.13,12/23/22,12/25/22,170.91,,,,,,1/2/23,P,21,,died as pupa
1038,26,,22,12/1/2022,12/5/22,12/10/22,12/14/22,151.02,12/15/22,172.05,,,,12/18/22,110.11,,,,,,17,,
1003,26,,48,11/30/2022,12/6/22,12/10/22,12/12/22,176.23,12/13/22,199.27,12/14/22,12/16/22,178.26,,,12/21/2022,M,80.66,,,14,7,
1008,26,12/4/22,31,11/30/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1013,26,,14,12/1/2022,12/6/22,12/10/22,12/13/22,192.13,12/14/22,210.11,12/15/22,12/17/22,205.59,,,12/21/2022,M,100.32,,,14,6,
1018,26,12/8/22,35,12/1/2022,,,,,,,,,,,,,,,12/8/22,1,,,
1023,26,12/4/22,26,12/1/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1028,26,12/8/22,28,12/1/2022,,,,,,,,,,,,,,,12/8/22,1,,,
1033,26,,29,12/1/2022,12/6/22,12/10/22,12/13/22,209.58,12/14/22,214.21,12/15/22,12/17/22,179.33,,,12/21/2022,M,100.31,,,14,6,
1043,26,,17,12/1/2022,12/6/22,12/10/22,12/13/22,214.52,12/14/22,223.23,12/15/22,12/17/22,179.62,,,12/21/2022,F,98.83,,,14,6,
1048,26,,45,12/1/2022,12/7/22,12/10/22,12/12/22,120.7,12/14/22,,12/15/22,12/17/22,135.29,,,12/21/2022,F,65.84,,,14,6,
1053,26,,48,12/1/2022,12/5/22,12/10/22,12/11/22,160.45,12/13/22,202.84,12/14/22,12/16/22,184.93,,,12/21/2022,F,100.79,,,13,7,
1058,26,12/4/22,30,12/1/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1063,26,,38,12/1/2022,12/6/22,12/10/22,12/11/22,120.45,12/13/22,150.22,12/14/22,12/16/22,85.5,,,,,,12/15/22,P,13,,Visibly dead pupa
1068,26,,46,12/1/2022,12/4/22,12/10/22,12/13/22,197.87,12/14/22,214.22,12/15/22,12/17/22,181.89,,,12/21/2022,M,91.16,,,14,6,
1078,26,,18,12/2/2022,12/8/22,12/10/22,12/13/22,44.15,12/15/22,123.02,12/17/22,12/19/22,110.97,,,12/23/2022,M,69.54,,,15,6,
1083,26,12/5/22,52,12/2/2022,,,,,,,,,,,,,,,12/5/22,1,,,
