"","CID","Treatment","Mass.pupa","Mass.larvapupa.int","DaysHtoP","DaysPtoE","PupateOK","Surv.pupa","Surv.eclos"
"1",1056,16,NA,167.52,32,NA,"N","Y","N"
"2",1071,16,NA,198.61,32,NA,"N","Y","N"
"3",1091,16,NA,213.09,31,NA,"N","Y","N"
"4",1106,16,NA,211.98,31,NA,"N","Y","N"
"5",1131,16,NA,176.88,35,NA,"N","Y","N"
"6",1136,16,NA,189.45,35,NA,"N","Y","N"
"7",1001,16,151.18,NA,33,NA,"Y","Y","N"
"8",1006,16,200.46,NA,33,NA,"Y","Y","N"
"9",1011,16,187.19,NA,30,NA,"Y","Y","N"
"10",1016,16,186.12,NA,36,NA,"Y","Y","N"
"11",1021,16,140.09,NA,32,NA,"Y","Y","N"
"12",1026,16,NA,NA,NA,NA,NA,"N","N"
"13",1031,16,138.07,NA,32,NA,"Y","Y","N"
"14",1036,16,192.35,NA,28,NA,"Y","Y","N"
"15",1041,16,151.14,NA,28,NA,"Y","Y","N"
"16",1046,16,175.91,NA,32,NA,"Y","Y","N"
"17",1051,16,188.31,NA,29,NA,"Y","Y","N"
"18",1061,16,183.61,NA,29,NA,"Y","Y","N"
"19",1066,16,212.26,NA,29,NA,"Y","Y","N"
"20",1076,16,195.23,NA,27,NA,"Y","Y","N"
"21",1081,16,166.65,NA,28,NA,"Y","Y","N"
"22",1086,16,NA,NA,NA,NA,NA,"N","N"
"23",1096,16,NA,NA,NA,NA,NA,"N","N"
"24",1101,16,194.76,NA,31,NA,"Y","Y","N"
"25",1111,16,176.32,NA,46,NA,"Y","Y","N"
"26",1116,16,156.69,NA,31,NA,"Y","Y","N"
"27",1121,16,NA,NA,NA,NA,NA,"N","N"
"28",1126,16,204.9,NA,31,NA,"Y","Y","N"
"29",1022,21,NA,145.99,17,NA,"N","Y","N"
"30",1057,21,NA,136.83,19,NA,"N","Y","N"
"31",1127,21,NA,166.7,22,NA,"N","Y","N"
"32",1137,21,NA,157.46,25,NA,"N","Y","N"
"33",1002,21,160.11,NA,21,9,"Y","Y","Y"
"34",1007,21,211.7,NA,24,9,"Y","Y","Y"
"35",1012,21,168.31,NA,20,9,"Y","Y","Y"
"36",1017,21,NA,NA,NA,NA,NA,"N","N"
"37",1027,21,224.74,NA,22,NA,"Y","Y","N"
"38",1032,21,184.88,NA,18,10,"Y","Y","Y"
"39",1037,21,198,NA,21,11,"Y","Y","Y"
"40",1042,21,184.29,NA,18,10,"Y","Y","Y"
"41",1047,21,NA,NA,NA,NA,NA,"N","N"
"42",1052,21,192.12,NA,20,12,"Y","Y","Y"
"43",1062,21,168.6,NA,18,10,"Y","Y","Y"
"44",1067,21,203.49,NA,19,10,"Y","Y","Y"
"45",1072,21,178.92,NA,16,10,"Y","Y","Y"
"46",1077,21,NA,NA,NA,NA,NA,"N","N"
"47",1082,21,148.2,NA,16,NA,"Y","Y","N"
"48",1087,21,153.97,NA,18,NA,"Y","Y","N"
"49",1092,21,NA,NA,NA,NA,NA,"N","N"
"50",1097,21,NA,NA,NA,NA,NA,"N","N"
"51",1102,21,149.09,NA,21,NA,"Y","Y","N"
"52",1107,21,NA,NA,NA,NA,NA,"N","N"
"53",1112,21,156.04,NA,18,13,"Y","Y","Y"
"54",1117,21,195.13,NA,18,10,"Y","Y","Y"
"55",1122,21,NA,NA,19,NA,NA,"N","N"
"56",1132,21,170.91,NA,21,NA,"Y","Y","N"
"57",1038,26,NA,110.11,17,NA,"N","Y","N"
"58",1003,26,178.26,NA,14,7,"Y","Y","Y"
"59",1008,26,NA,NA,NA,NA,NA,"N","N"
"60",1013,26,205.59,NA,14,6,"Y","Y","Y"
"61",1018,26,NA,NA,NA,NA,NA,"N","N"
"62",1023,26,NA,NA,NA,NA,NA,"N","N"
"63",1028,26,NA,NA,NA,NA,NA,"N","N"
"64",1033,26,179.33,NA,14,6,"Y","Y","Y"
"65",1043,26,179.62,NA,14,6,"Y","Y","Y"
"66",1048,26,135.29,NA,14,6,"Y","Y","Y"
"67",1053,26,184.93,NA,13,7,"Y","Y","Y"
"68",1058,26,NA,NA,NA,NA,NA,"N","N"
"69",1063,26,85.5,NA,13,NA,"Y","Y","N"
"70",1068,26,181.89,NA,14,6,"Y","Y","Y"
"71",1078,26,110.97,NA,15,6,"Y","Y","Y"
"72",1083,26,NA,NA,NA,NA,NA,"N","N"
"73",1088,26,147.53,NA,15,5,"Y","Y","Y"
"74",1093,26,NA,NA,NA,NA,NA,"N","N"
"75",1098,26,NA,NA,NA,NA,NA,"N","N"
"76",1103,26,NA,NA,NA,NA,NA,"N","N"
"77",1108,26,140.12,NA,13,5,"Y","Y","Y"
"78",1113,26,157.59,NA,13,6,"Y","Y","Y"
"79",1118,26,129.21,NA,12,7,"Y","Y","Y"
"80",1123,26,NA,NA,NA,NA,NA,"N","N"
"81",1128,26,196.37,NA,13,6,"Y","Y","Y"
"82",1133,26,132.08,NA,15,5,"Y","Y","Y"
"83",1138,26,125.31,NA,13,6,"Y","Y","Y"
"84",11182,26,160.55,NA,13,5,"Y","Y","Y"
"85",1004,30,118.37,NA,11,7,"Y","Y","Y"
"86",1009,30,160.17,NA,18,6,"Y","Y","Y"
"87",1014,30,140.41,NA,12,5,"Y","Y","Y"
"88",1019,30,NA,NA,NA,NA,NA,"N","N"
"89",1024,30,175.05,NA,13,5,"Y","Y","Y"
"90",1029,30,157.36,NA,12,7,"Y","Y","Y"
"91",1034,30,NA,NA,NA,NA,NA,"N","N"
