"","CID","Treatment","Mass.pupa","Mass.larvapupa.int","DaysHtoP","DaysPtoE","PupateOK","Surv.pupa","Surv.eclos"
"92",1039,30,166.47,NA,13,7,"Y","Y","Y"
"93",1044,30,149.14,NA,14,6,"Y","Y","Y"
"94",1049,30,142.36,NA,13,6,"Y","Y","Y"
"95",1054,30,148.71,NA,12,5,"Y","Y","Y"
"96",1059,30,136.36,NA,13,7,"Y","Y","Y"
"97",1064,30,NA,NA,NA,NA,NA,"N","N"
"98",1069,30,176.29,NA,13,7,"Y","Y","Y"
"99",1074,30,134.43,NA,12,5,"Y","Y","Y"
"100",1079,30,170.44,NA,12,6,"Y","Y","Y"
"101",1084,30,104.69,NA,11,7,"Y","Y","Y"
"102",1089,30,NA,NA,NA,NA,NA,"N","N"
"103",1094,30,NA,NA,NA,NA,NA,"N","N"
"104",1099,30,149.35,NA,12,7,"Y","Y","Y"
"105",1104,30,145.36,NA,15,6,"Y","Y","Y"
"106",1109,30,144.04,NA,11,7,"Y","Y","Y"
"107",1114,30,NA,NA,NA,NA,NA,"N","N"
"108",1119,30,147.42,NA,13,5,"Y","Y","Y"
"109",1124,30,160.84,NA,11,6,"Y","Y","Y"
"110",1129,30,NA,NA,NA,NA,NA,"N","N"
"111",1134,30,NA,NA,NA,NA,NA,"N","N"
"112",1030,34,NA,98.06,16,NA,"N","Y","N"
"113",1085,34,NA,80.92,15,NA,"N","Y","N"
"114",1095,34,NA,130.02,15,NA,"N","Y","N"
"115",1055,34,NA,167.69,17,NA,"N","Y","N"
"116",1005,34,121.77,NA,14,NA,"Y","Y","N"
"117",1010,34,126.16,NA,14,8,"Y","Y","Y"
"118",1015,34,NA,NA,NA,NA,NA,"N","N"
"119",1020,34,NA,NA,NA,NA,NA,"N","N"
"120",1025,34,137.06,NA,13,8,"Y","Y","Y"
"121",1035,34,NA,NA,NA,NA,NA,"N","N"
"122",1040,34,132.28,NA,14,NA,"Y","Y","N"
"123",1045,34,139.27,NA,13,NA,"Y","Y","N"
"124",1050,34,136.56,NA,14,8,"Y","Y","Y"
"125",1060,34,NA,NA,NA,NA,NA,"N","N"
"126",1065,34,139.91,NA,14,8,"Y","Y","Y"
"127",1070,34,167.06,NA,16,NA,"Y","Y","N"
"128",1073,34,NA,NA,NA,NA,NA,"N","N"
"129",1075,34,139.28,NA,12,NA,"Y","Y","N"
"130",1080,34,NA,NA,NA,NA,NA,"N","N"
"131",1090,34,133.83,NA,12,9,"Y","Y","Y"
"132",1100,34,NA,NA,NA,NA,NA,"N","N"
"133",1105,34,NA,NA,NA,NA,NA,"N","N"
"134",1110,34,NA,NA,NA,NA,NA,"N","N"
"135",1115,34,NA,NA,NA,NA,NA,"N","N"
"136",1120,34,NA,NA,NA,NA,NA,"N","N"
"137",1125,34,145.16,NA,13,NA,"Y","Y","N"
"138",1130,34,NA,NA,NA,NA,NA,"N","N"
"139",1135,34,102.98,NA,15,NA,"Y","Y","N"
"140",1139,34,NA,NA,NA,NA,NA,"N","N"
